,x,y,z,t
250082,-5.2115625,-2.29921875,7.6640625,7815.0
250083,-5.36484375,-2.1459375,7.81734375,7815.03125
250084,-5.05828125,-1.99265625,7.970625,7815.0625
250085,-5.05828125,-2.29921875,7.81734375,7815.09375
250086,-5.05828125,-2.29921875,7.6640625,7815.125
250087,-5.2115625,-2.4525,7.6640625,7815.15625
250088,-5.2115625,-2.4525,7.6640625,7815.1875
250089,-5.2115625,-2.29921875,7.6640625,7815.21875
250090,-4.905,-2.60578125,7.81734375,7815.25
250091,-4.75171875,-2.60578125,7.81734375,7815.28125
250092,-4.905,-2.4525,7.81734375,7815.3125
250093,-4.75171875,-2.60578125,7.970625,7815.34375
250094,-4.5984375,-2.7590625,7.970625,7815.375
250095,-4.5984375,-2.7590625,7.81734375,7815.40625
250096,-4.905,-2.60578125,7.6640625,7815.4375
250097,-4.905,-2.60578125,7.81734375,7815.46875
250098,-4.44515625,-2.60578125,7.970625,7815.5
250099,-4.44515625,-2.7590625,8.123906250000001,7815.53125
250100,-4.5984375,-2.7590625,7.970625,7815.5625
250101,-4.5984375,-2.60578125,7.81734375,7815.59375
250102,-4.75171875,-2.4525,7.81734375,7815.625
250103,-4.75171875,-2.60578125,7.970625,7815.65625
250104,-4.5984375,-2.7590625,7.970625,7815.6875
250105,-4.75171875,-2.60578125,7.970625,7815.71875
250106,-4.75171875,-2.60578125,7.81734375,7815.75
250107,-4.75171875,-2.4525,7.81734375,7815.78125
250108,-4.905,-2.29921875,7.81734375,7815.8125
250109,-4.905,-2.4525,7.81734375,7815.84375
250110,-4.905,-2.4525,7.81734375,7815.875
250111,-4.905,-2.4525,7.81734375,7815.90625
250112,-5.2115625,-2.1459375,7.81734375,7815.9375
250113,-4.13859375,-3.0656250000000003,7.51078125,7815.96875
250114,-3.3721875000000003,-2.7590625,8.58375,7816.0
250115,-5.2115625,-2.7590625,8.2771875,7816.03125
250116,-4.75171875,-2.29921875,7.970625,7816.0625
250117,-5.9779687500000005,-2.29921875,7.050937500000001,7816.09375
250118,-5.67140625,-1.99265625,7.3575,7816.125
250119,-5.67140625,-1.99265625,7.3575,7816.15625
250120,-5.518125,-1.839375,7.6640625,7816.1875
250121,-5.8246875000000005,-1.5328125000000001,7.6640625,7816.21875
250122,-5.9779687500000005,-2.1459375,7.050937500000001,7816.25
250123,-4.75171875,-2.60578125,7.970625,7816.28125
250124,-4.75171875,-2.29921875,8.123906250000001,7816.3125
250125,-5.05828125,-2.1459375,7.970625,7816.34375
250126,-5.05828125,-2.1459375,7.81734375,7816.375
250127,-5.67140625,-1.839375,7.51078125,7816.40625
250128,-5.518125,-2.1459375,7.51078125,7816.4375
250129,-5.2115625,-1.839375,7.81734375,7816.46875
250130,-5.2115625,-2.1459375,7.970625,7816.5
250131,-4.905,-1.99265625,7.81734375,7816.53125
250132,-5.518125,-1.99265625,7.51078125,7816.5625
250133,-5.518125,-1.99265625,7.6640625,7816.59375
250134,-5.36484375,-2.1459375,7.6640625,7816.625
250135,-5.2115625,-2.1459375,7.6640625,7816.65625
250136,-5.518125,-1.99265625,7.6640625,7816.6875
250137,-5.67140625,-2.1459375,7.51078125,7816.71875
250138,-5.518125,-2.1459375,7.51078125,7816.75
250139,-5.518125,-1.99265625,7.51078125,7816.78125
250140,-5.518125,-1.99265625,7.51078125,7816.8125
250141,-5.67140625,-2.1459375,7.51078125,7816.84375
250142,-5.9779687500000005,-1.99265625,7.3575,7816.875
250143,-6.284531250000001,-1.99265625,6.897656250000001,7816.90625
250144,-6.744375000000001,-1.839375,6.591093750000001,7816.9375
250145,-5.36484375,-1.99265625,7.81734375,7816.96875
250146,-5.2115625,-2.60578125,7.81734375,7817.0
250147,-5.05828125,-2.60578125,7.6640625,7817.03125
250148,-3.9853125,-2.60578125,8.2771875,7817.0625
250149,-3.9853125,-2.60578125,8.58375,7817.09375
250150,-4.13859375,-2.7590625,8.430468750000001,7817.125
250151,-3.9853125,-2.9123437500000002,8.123906250000001,7817.15625
250152,-4.5984375,-3.0656250000000003,7.6640625,7817.1875
250153,-5.05828125,-3.0656250000000003,7.3575,7817.21875
250154,-4.75171875,-3.0656250000000003,7.3575,7817.25
250155,-4.44515625,-3.2189062500000003,7.81734375,7817.28125
250156,-4.13859375,-3.2189062500000003,7.970625,7817.3125
250157,-4.13859375,-3.2189062500000003,8.123906250000001,7817.34375
250158,-3.9853125,-3.3721875000000003,7.970625,7817.375
250159,-3.83203125,-3.3721875000000003,7.6640625,7817.40625
250160,-4.13859375,-3.3721875000000003,7.51078125,7817.4375
250161,-4.13859375,-3.5254687500000004,7.81734375,7817.46875
250162,-3.67875,-3.2189062500000003,8.58375,7817.5
250163,-2.4525,-3.2189062500000003,8.8903125,7817.53125
250164,-2.4525,-3.3721875000000003,8.58375,7817.5625
