,x,y,z,t
295074,-1.99265625,-9.81,1.5328125000000001,9221.0
295075,-1.6860937500000002,-9.81,1.37953125,9221.03125
295076,-1.37953125,-9.81,1.5328125000000001,9221.0625
295077,-1.22625,-10.26984375,1.5328125000000001,9221.09375
295078,-1.6860937500000002,-10.26984375,1.37953125,9221.125
295079,-1.6860937500000002,-9.96328125,1.22625,9221.15625
295080,-1.22625,-9.5034375,1.22625,9221.1875
295081,-0.9196875,-9.656718750000001,1.22625,9221.21875
295082,-1.37953125,-9.656718750000001,0.9196875,9221.25
295083,-1.5328125000000001,-9.5034375,1.07296875,9221.28125
295084,-1.22625,-9.350156250000001,1.07296875,9221.3125
295085,-1.22625,-9.350156250000001,1.37953125,9221.34375
295086,-1.6860937500000002,-9.5034375,1.37953125,9221.375
295087,-2.29921875,-9.81,1.22625,9221.40625
295088,-1.6860937500000002,-10.26984375,1.37953125,9221.4375
295089,-1.6860937500000002,-10.26984375,1.6860937500000002,9221.46875
295090,-1.99265625,-10.26984375,1.07296875,9221.5
295091,-1.6860937500000002,-9.96328125,1.07296875,9221.53125
295092,-1.37953125,-9.656718750000001,1.22625,9221.5625
295093,-1.839375,-9.656718750000001,0.9196875,9221.59375
295094,-1.839375,-9.656718750000001,0.7664062500000001,9221.625
295095,-2.29921875,-9.043593750000001,0.7664062500000001,9221.65625
295096,-2.4525,-9.196875,0.7664062500000001,9221.6875
295097,-2.60578125,-10.1165625,0.613125,9221.71875
295098,-3.0656250000000003,-10.423125,0.3065625,9221.75
295099,-3.0656250000000003,-10.26984375,0.45984375,9221.78125
295100,-2.4525,-9.81,0.45984375,9221.8125
295101,-2.1459375,-9.81,0.45984375,9221.84375
295102,-1.99265625,-9.96328125,0.3065625,9221.875
295103,-1.839375,-9.656718750000001,0.45984375,9221.90625
295104,-1.839375,-9.81,0.45984375,9221.9375
295105,-2.29921875,-11.03625,0.15328125,9221.96875
295106,-2.4525,-11.03625,0.3065625,9222.0
295107,-2.7590625,-9.043593750000001,0.7664062500000001,9222.03125
295108,-2.29921875,-8.123906250000001,1.5328125000000001,9222.0625
295109,-1.5328125000000001,-8.58375,1.839375,9222.09375
295110,-1.22625,-9.350156250000001,1.37953125,9222.125
295111,-1.6860937500000002,-9.81,0.9196875,9222.15625
295112,-1.6860937500000002,-10.57640625,0.7664062500000001,9222.1875
295113,-1.99265625,-11.03625,0.45984375,9222.21875
295114,-1.6860937500000002,-10.88296875,0.613125,9222.25
295115,-1.22625,-9.81,1.07296875,9222.28125
295116,-0.9196875,-9.350156250000001,1.37953125,9222.3125
295117,-0.613125,-9.196875,1.839375,9222.34375
295118,-1.839375,-9.350156250000001,1.37953125,9222.375
295119,-2.29921875,-9.81,1.22625,9222.40625
295120,-2.60578125,-10.26984375,1.07296875,9222.4375
295121,-2.60578125,-9.96328125,1.22625,9222.46875
295122,-2.60578125,-9.81,1.37953125,9222.5
295123,-2.9123437500000002,-9.5034375,1.22625,9222.53125
295124,-2.7590625,-9.5034375,1.22625,9222.5625
295125,-2.1459375,-9.350156250000001,1.5328125000000001,9222.59375
295126,-1.99265625,-9.350156250000001,1.5328125000000001,9222.625
295127,-1.99265625,-9.656718750000001,1.37953125,9222.65625
295128,-2.1459375,-9.96328125,1.22625,9222.6875
295129,-1.99265625,-9.96328125,1.22625,9222.71875
295130,-1.839375,-9.656718750000001,1.22625,9222.75
295131,-1.839375,-9.5034375,1.37953125,9222.78125
295132,-1.839375,-9.656718750000001,1.37953125,9222.8125
295133,-2.1459375,-9.81,1.5328125000000001,9222.84375
295134,-2.1459375,-9.81,1.5328125000000001,9222.875
295135,-2.29921875,-9.656718750000001,1.37953125,9222.90625
295136,-2.4525,-9.656718750000001,1.37953125,9222.9375
295137,-2.29921875,-9.656718750000001,1.37953125,9222.96875
295138,-2.1459375,-9.656718750000001,1.37953125,9223.0
295139,-1.99265625,-9.656718750000001,1.37953125,9223.03125
295140,-1.99265625,-9.656718750000001,1.37953125,9223.0625
295141,-1.99265625,-9.656718750000001,1.37953125,9223.09375
295142,-2.1459375,-9.656718750000001,1.37953125,9223.125
295143,-1.99265625,-9.656718750000001,1.37953125,9223.15625
295144,-1.99265625,-9.656718750000001,1.37953125,9223.1875
295145,-1.839375,-9.656718750000001,1.22625,9223.21875
295146,-1.839375,-9.656718750000001,1.37953125,9223.25
295147,-1.839375,-9.81,1.22625,9223.28125
295148,-1.99265625,-9.81,1.37953125,9223.3125
295149,-1.99265625,-9.81,1.37953125,9223.34375
295150,-1.99265625,-9.656718750000001,1.37953125,9223.375
295151,-1.99265625,-9.656718750000001,1.37953125,9223.40625
295152,-2.1459375,-9.81,1.22625,9223.4375
295153,-2.1459375,-9.81,1.22625,9223.46875
295154,-2.1459375,-9.81,1.22625,9223.5
295155,-1.839375,-9.656718750000001,1.37953125,9223.53125
295156,-1.839375,-9.656718750000001,1.22625,9223.5625
295157,-1.839375,-9.81,1.22625,9223.59375
295158,-1.99265625,-9.81,1.22625,9223.625
295159,-1.99265625,-9.81,1.22625,9223.65625
295160,-1.99265625,-9.81,1.22625,9223.6875
295161,-1.99265625,-9.81,1.22625,9223.71875
295162,-1.99265625,-9.656718750000001,1.37953125,9223.75
295163,-1.99265625,-9.656718750000001,1.22625,9223.78125
295164,-1.99265625,-9.656718750000001,1.37953125,9223.8125
295165,-1.99265625,-9.81,1.37953125,9223.84375
295166,-1.839375,-9.81,1.37953125,9223.875
295167,-1.99265625,-9.81,1.37953125,9223.90625
295168,-1.99265625,-9.81,1.22625,9223.9375
295169,-1.99265625,-9.656718750000001,1.22625,9223.96875
295170,-1.99265625,-9.656718750000001,1.37953125,9224.0
295171,-1.99265625,-9.656718750000001,1.37953125,9224.03125
295172,-2.1459375,-9.656718750000001,1.37953125,9224.0625
295173,-2.1459375,-9.656718750000001,1.37953125,9224.09375
295174,-1.99265625,-9.656718750000001,1.37953125,9224.125
295175,-1.99265625,-9.656718750000001,1.37953125,9224.15625
295176,-1.99265625,-9.656718750000001,1.37953125,9224.1875
295177,-2.1459375,-9.656718750000001,1.37953125,9224.21875
295178,-2.1459375,-9.656718750000001,1.37953125,9224.25
