x,y,z,t,resultant
-3.5254687500000004,-8.430468750000001,0.45984375,9017.0,9.149491216803654
-3.5254687500000004,-8.430468750000001,0.45984375,9017.03125,9.149491216803654
-3.67875,-8.58375,0.45984375,9017.0625,9.35015625
-3.67875,-8.8903125,0.613125,9017.09375,9.640891046774735
-3.83203125,-9.196875,0.613125,9017.125,9.982128807635501
-3.83203125,-9.5034375,0.7664062500000001,9017.15625,10.27556160788411
-3.67875,-9.350156250000001,1.07296875,9017.1875,10.104943611935232
-3.67875,-9.350156250000001,1.22625,9017.21875,10.12236694278636
-3.5254687500000004,-9.043593750000001,1.22625,9017.25,9.783619314178452
-3.83203125,-8.8903125,1.07296875,9017.28125,9.740296801797642
-4.13859375,-8.737031250000001,0.9196875,9017.3125,9.711307758930921
-4.291875,-9.196875,0.7664062500000001,9017.34375,10.17792116894649
-4.44515625,-9.81,0.613125,9017.375,10.787559332515352
-4.44515625,-10.1165625,0.613125,9017.40625,11.067076089416993
-4.291875,-10.1165625,0.7664062500000001,9017.4375,11.016006825164476
-4.13859375,-9.96328125,0.7664062500000001,9017.46875,10.8158360765213
-3.9853125,-9.96328125,0.7664062500000001,9017.5,10.758116356002889
-3.83203125,-9.96328125,0.7664062500000001,9017.53125,10.70228084604479
-3.5254687500000004,-9.81,0.7664062500000001,9017.5625,10.452387691205567
-3.3721875000000003,-9.81,0.7664062500000001,9017.59375,10.4016886645965
-3.2189062500000003,-9.656718750000001,0.613125,9017.625,10.197524048930488
-3.2189062500000003,-9.350156250000001,0.613125,9017.65625,9.907709200987288
-3.0656250000000003,-9.196875,0.7664062500000001,9017.6875,9.72460513061014
-3.0656250000000003,-8.737031250000001,0.613125,9017.71875,9.279530913237295
-3.0656250000000003,-8.737031250000001,0.7664062500000001,9017.75,9.290917621211623
-3.2189062500000003,-9.196875,0.7664062500000001,9017.78125,9.774008683848871
-2.9123437500000002,-9.96328125,1.07296875,9017.8125,10.435515383690554
-2.60578125,-9.96328125,1.07296875,9017.84375,10.354145601059011
-3.5254687500000004,-9.96328125,1.6860937500000002,9017.875,10.70228084604479
-3.83203125,-9.656718750000001,2.1459375,9017.90625,10.60856862500707
-4.13859375,-9.196875,1.99265625,9017.9375,10.280133604376362
-3.9853125,-9.043593750000001,1.22625,9017.96875,9.95856378702247
-3.67875,-8.737031250000001,0.9196875,9018.0,9.524428682269232
-3.5254687500000004,-8.430468750000001,0.9196875,9018.03125,9.184092679715802
-4.291875,-8.2771875,0.9196875,9018.0625,9.368983350579587
-4.75171875,-8.123906250000001,0.9196875,9018.09375,9.45634754731164
-4.75171875,-7.970625,1.07296875,9018.125,9.341357284046207
-4.905,-7.970625,1.22625,9018.15625,9.438939397682613
-4.75171875,-8.123906250000001,1.37953125,9018.1875,9.512086538063938
-4.75171875,-7.970625,1.5328125000000001,9018.21875,9.4052755477914
-4.5984375,-7.970625,1.5328125000000001,9018.25,9.328772936039739
-4.905,-8.123906250000001,1.6860937500000002,9018.28125,9.638453708587189
-4.905,-8.2771875,1.6860937500000002,9018.3125,9.767997238121298
-4.75171875,-8.8903125,1.839375,9018.34375,10.246940412502788
-4.75171875,-9.196875,1.839375,9018.375,10.514021173430818
-4.44515625,-9.81,1.839375,9018.40625,10.926061251775
-4.44515625,-10.423125,1.99265625,9018.4375,11.505286949190062
-4.44515625,-10.26984375,1.839375,9018.46875,11.340740942590706
-4.44515625,-10.7296875,1.5328125000000001,9018.5,11.714739523127545
-4.291875,-10.88296875,1.5328125000000001,9018.53125,11.798674247103266
-3.83203125,-10.1165625,1.22625,9018.5625,10.88728567549703
-3.5254687500000004,-9.043593750000001,1.07296875,9018.59375,9.765591623692965
-3.5254687500000004,-8.8903125,1.07296875,9018.625,9.62381671652985
-3.67875,-9.043593750000001,0.9196875,9018.65625,9.806406812650357
-3.67875,-9.043593750000001,0.7664062500000001,9018.6875,9.793220513068116
-3.67875,-8.8903125,0.45984375,9018.71875,9.63235766490065
-3.67875,-9.196875,0.15328125,9018.75,9.906523430029656
-3.5254687500000004,-9.350156250000001,0.15328125,9018.78125,9.993890481101051
-3.2189062500000003,-9.96328125,0.0,9018.8125,10.470354851335776
-3.2189062500000003,-10.26984375,-0.15328125,9018.84375,10.763574835402254
-3.3721875000000003,-10.7296875,-0.3065625,9018.875,11.251303166710013
-3.0656250000000003,-9.96328125,0.0,9018.90625,10.424252007085522
-3.0656250000000003,-9.196875,0.0,9018.9375,9.694357451953689
-3.5254687500000004,-8.58375,0.15328125,9018.96875,9.280796792912133
-3.5254687500000004,-8.2771875,0.3065625,9019.0,9.001929981053456
-3.3721875000000003,-7.970625,0.45984375,9019.03125,8.666831468316165
-3.5254687500000004,-8.123906250000001,0.613125,9019.0625,8.877088764434015
-3.83203125,-8.2771875,0.7664062500000001,9019.09375,9.153342283077361
-4.44515625,-8.737031250000001,1.07296875,9019.125,9.861358480902478
-4.5984375,-8.8903125,1.07296875,9019.15625,10.066506133090025
-4.75171875,-8.8903125,1.37953125,9019.1875,10.174457916591154
-4.75171875,-8.737031250000001,1.07296875,9019.21875,10.003289862892842
-4.75171875,-8.58375,1.07296875,9019.25,9.869693869623218
-4.905,-8.58375,1.07296875,9019.28125,9.944397970766083
-5.05828125,-8.58375,1.07296875,9019.3125,10.020889940772632
-5.2115625,-8.58375,0.9196875,9019.34375,10.083995877208721
-5.05828125,-8.8903125,0.7664062500000001,9019.375,10.257253243037187
-4.905,-9.196875,0.7664062500000001,9019.40625,10.451263718118689
-4.905,-9.5034375,0.7664062500000001,9019.4375,10.722020698377957
-4.905,-9.81,0.613125,9019.46875,10.985037426682943
-5.05828125,-10.7296875,0.613125,9019.5,11.878060671565153
-4.5984375,-9.81,0.9196875,9019.53125,10.873249401124877
-4.13859375,-9.043593750000001,1.07296875,9019.5625,10.003289862892842
-3.67875,-8.430468750000001,1.07296875,9019.59375,9.260521953200216
-3.5254687500000004,-8.430468750000001,0.9196875,9019.625,9.184092679715802
-3.5254687500000004,-8.8903125,0.7664062500000001,9019.65625,9.594475743620487
