,x,y,z,t
15202,2.1459375,-0.45984375,9.043593750000001,475.0
15203,2.1459375,-0.45984375,9.196875,475.03125
15204,2.29921875,-0.45984375,9.043593750000001,475.0625
15205,2.1459375,-0.613125,9.043593750000001,475.09375
15206,2.1459375,-0.45984375,9.196875,475.125
15207,2.1459375,-0.45984375,9.196875,475.15625
15208,2.1459375,-0.45984375,9.196875,475.1875
15209,2.1459375,-0.45984375,9.196875,475.21875
15210,2.1459375,-0.45984375,9.196875,475.25
15211,2.1459375,-0.45984375,9.043593750000001,475.28125
15212,2.29921875,-0.45984375,9.196875,475.3125
15213,2.1459375,-0.45984375,9.043593750000001,475.34375
15214,2.1459375,-0.45984375,9.196875,475.375
15215,2.29921875,-0.45984375,9.196875,475.40625
15216,2.29921875,-0.45984375,9.043593750000001,475.4375
15217,2.1459375,-0.45984375,9.196875,475.46875
15218,2.1459375,-0.45984375,9.196875,475.5
15219,2.29921875,-0.45984375,9.196875,475.53125
15220,2.29921875,-0.45984375,9.196875,475.5625
15221,2.1459375,-0.613125,9.043593750000001,475.59375
15222,2.1459375,-0.613125,9.196875,475.625
15223,2.29921875,-0.45984375,9.196875,475.65625
15224,2.29921875,-0.45984375,9.196875,475.6875
15225,2.1459375,-0.45984375,9.043593750000001,475.71875
15226,2.29921875,-0.45984375,9.043593750000001,475.75
15227,2.29921875,-0.613125,9.196875,475.78125
15228,2.1459375,-0.45984375,9.196875,475.8125
15229,2.1459375,-0.613125,9.196875,475.84375
15230,2.29921875,-0.45984375,9.043593750000001,475.875
15231,2.1459375,-0.613125,9.196875,475.90625
15232,2.1459375,-0.613125,9.196875,475.9375
15233,2.1459375,-0.45984375,9.196875,475.96875
15234,2.29921875,-0.45984375,9.196875,476.0
15235,2.29921875,-0.45984375,9.196875,476.03125
15236,2.1459375,-0.45984375,9.196875,476.0625
15237,2.1459375,-0.613125,9.196875,476.09375
15238,2.29921875,-0.45984375,9.196875,476.125
15239,2.1459375,-0.45984375,9.196875,476.15625
15240,2.1459375,-0.45984375,9.196875,476.1875
15241,2.29921875,-0.613125,9.043593750000001,476.21875
15242,2.29921875,-0.45984375,9.043593750000001,476.25
15243,2.1459375,-0.45984375,9.196875,476.28125
15244,2.1459375,-0.45984375,9.196875,476.3125
15245,2.29921875,-0.613125,9.196875,476.34375
15246,2.29921875,-0.45984375,9.196875,476.375
15247,2.29921875,-0.45984375,9.043593750000001,476.40625
15248,2.1459375,-0.45984375,9.043593750000001,476.4375
15249,2.1459375,-0.45984375,9.196875,476.46875
15250,2.29921875,-0.45984375,9.043593750000001,476.5
15251,2.1459375,-0.45984375,9.196875,476.53125
15252,2.1459375,-0.613125,9.196875,476.5625
15253,2.1459375,-0.45984375,9.196875,476.59375
15254,2.1459375,-0.45984375,9.196875,476.625
15255,2.29921875,-0.613125,9.196875,476.65625
15256,2.29921875,-0.45984375,9.043593750000001,476.6875
15257,2.1459375,-0.45984375,9.043593750000001,476.71875
15258,2.29921875,-0.45984375,9.196875,476.75
15259,2.29921875,-0.45984375,9.196875,476.78125
15260,2.1459375,-0.613125,9.196875,476.8125
15261,2.1459375,-0.45984375,9.196875,476.84375
15262,2.29921875,-0.45984375,9.196875,476.875
15263,2.1459375,-0.613125,9.196875,476.90625
15264,2.1459375,-0.45984375,9.196875,476.9375
15265,2.29921875,-0.45984375,9.196875,476.96875
15266,2.29921875,-0.45984375,9.196875,477.0
15267,2.1459375,-0.45984375,9.196875,477.03125
15268,2.29921875,-0.613125,9.196875,477.0625
15269,2.29921875,-0.613125,9.043593750000001,477.09375
15270,2.1459375,-0.45984375,9.196875,477.125
15271,2.1459375,-0.45984375,9.196875,477.15625
15272,2.29921875,-0.45984375,9.043593750000001,477.1875
15273,2.1459375,-0.45984375,9.196875,477.21875
15274,2.1459375,-0.45984375,9.196875,477.25
15275,2.29921875,-0.45984375,9.196875,477.28125
15276,2.29921875,-0.613125,9.043593750000001,477.3125
15277,2.29921875,-0.45984375,9.196875,477.34375
15278,2.1459375,-0.45984375,9.196875,477.375
15279,2.1459375,-0.45984375,9.196875,477.40625
15280,2.29921875,-0.45984375,9.196875,477.4375
15281,2.29921875,-0.45984375,9.043593750000001,477.46875
15282,2.1459375,-0.45984375,9.196875,477.5
15283,2.1459375,-0.45984375,9.196875,477.53125
15284,2.29921875,-0.45984375,9.196875,477.5625
15285,2.1459375,-0.45984375,9.196875,477.59375
15286,2.29921875,-0.45984375,9.043593750000001,477.625
15287,2.1459375,-0.45984375,9.196875,477.65625
15288,2.1459375,-0.45984375,9.196875,477.6875
15289,2.1459375,-0.45984375,9.196875,477.71875
15290,2.29921875,-0.613125,9.196875,477.75
15291,2.29921875,-0.45984375,9.196875,477.78125
15292,2.1459375,-0.45984375,9.196875,477.8125
15293,2.29921875,-0.45984375,9.196875,477.84375
15294,2.1459375,-0.613125,9.043593750000001,477.875
15295,2.1459375,-0.45984375,9.196875,477.90625
15296,2.29921875,-0.45984375,9.196875,477.9375
15297,2.1459375,-0.45984375,9.196875,477.96875
15298,2.29921875,-0.45984375,9.196875,478.0
15299,2.1459375,-0.45984375,9.196875,478.03125
15300,2.1459375,-0.45984375,9.196875,478.0625
15301,2.1459375,-0.45984375,9.043593750000001,478.09375
15302,2.29921875,-0.45984375,9.196875,478.125
15303,2.1459375,-0.45984375,9.196875,478.15625
15304,2.1459375,-0.45984375,9.043593750000001,478.1875
15305,2.29921875,-0.45984375,9.196875,478.21875
15306,2.29921875,-0.45984375,9.196875,478.25
15307,2.1459375,-0.45984375,9.196875,478.28125
15308,2.1459375,-0.45984375,9.196875,478.3125
15309,2.29921875,-0.613125,9.043593750000001,478.34375
15310,2.29921875,-0.45984375,9.196875,478.375
15311,2.1459375,-0.45984375,9.196875,478.40625
15312,2.1459375,-0.45984375,9.196875,478.4375
15313,2.29921875,-0.613125,9.196875,478.46875
15314,2.29921875,-0.45984375,9.196875,478.5
15315,2.1459375,-0.45984375,9.196875,478.53125
15316,2.1459375,-0.45984375,9.196875,478.5625
15317,2.1459375,-0.613125,9.196875,478.59375
15318,2.1459375,-0.45984375,9.196875,478.625
15319,2.1459375,-0.45984375,9.043593750000001,478.65625
15320,2.1459375,-0.45984375,9.196875,478.6875
15321,2.1459375,-0.45984375,9.196875,478.71875
15322,2.1459375,-0.45984375,9.043593750000001,478.75
15323,2.29921875,-0.45984375,9.196875,478.78125
15324,2.1459375,-0.45984375,9.196875,478.8125
15325,2.1459375,-0.613125,9.043593750000001,478.84375
15326,2.29921875,-0.613125,9.196875,478.875
15327,2.29921875,-0.45984375,9.043593750000001,478.90625
15328,2.1459375,-0.45984375,9.196875,478.9375
15329,2.1459375,-0.45984375,9.196875,478.96875
15330,2.29921875,-0.45984375,9.043593750000001,479.0
15331,2.29921875,-0.45984375,9.043593750000001,479.03125
15332,2.1459375,-0.45984375,9.196875,479.0625
15333,2.1459375,-0.45984375,9.196875,479.09375
15334,2.1459375,-0.45984375,9.196875,479.125
15335,2.1459375,-0.45984375,9.196875,479.15625
15336,2.1459375,-0.45984375,9.043593750000001,479.1875
15337,2.29921875,-0.45984375,9.196875,479.21875
15338,2.1459375,-0.45984375,9.196875,479.25
15339,2.1459375,-0.45984375,9.196875,479.28125
15340,2.1459375,-0.45984375,9.196875,479.3125
15341,2.29921875,-0.613125,9.196875,479.34375
15342,2.29921875,-0.45984375,9.196875,479.375
15343,2.29921875,-0.45984375,9.196875,479.40625
15344,2.1459375,-0.45984375,9.196875,479.4375
15345,2.29921875,-0.45984375,9.196875,479.46875
15346,2.29921875,-0.45984375,9.043593750000001,479.5
15347,2.29921875,-0.45984375,9.196875,479.53125
15348,2.29921875,-0.45984375,9.196875,479.5625
15349,2.1459375,-0.45984375,9.196875,479.59375
15350,2.29921875,-0.45984375,9.196875,479.625
15351,2.29921875,-0.613125,9.043593750000001,479.65625
15352,2.1459375,-0.613125,9.196875,479.6875
15353,2.1459375,-0.45984375,9.196875,479.71875
15354,2.29921875,-0.45984375,9.043593750000001,479.75
15355,2.29921875,-0.45984375,9.196875,479.78125
15356,2.1459375,-0.613125,9.196875,479.8125
15357,2.29921875,-0.45984375,9.196875,479.84375
15358,2.29921875,-0.45984375,9.196875,479.875
15359,2.29921875,-0.45984375,9.196875,479.90625
15360,2.1459375,-0.45984375,9.196875,479.9375
15361,2.29921875,-0.45984375,9.196875,479.96875
15362,2.29921875,-0.45984375,9.196875,480.0
15363,2.29921875,-0.45984375,9.043593750000001,480.03125
15364,2.29921875,-0.45984375,9.196875,480.0625
15365,2.1459375,-0.45984375,9.196875,480.09375
15366,2.1459375,-0.45984375,9.196875,480.125
15367,2.29921875,-0.45984375,9.196875,480.15625
15368,2.29921875,-0.45984375,9.196875,480.1875
15369,2.1459375,-0.45984375,9.196875,480.21875
15370,2.1459375,-0.45984375,9.196875,480.25
15371,2.1459375,-0.45984375,9.043593750000001,480.28125
15372,2.29921875,-0.45984375,9.196875,480.3125
15373,2.29921875,-0.45984375,9.196875,480.34375
15374,2.29921875,-0.45984375,9.043593750000001,480.375
15375,2.1459375,-0.45984375,9.043593750000001,480.40625
15376,2.1459375,-0.45984375,9.196875,480.4375
15377,2.29921875,-0.45984375,9.043593750000001,480.46875
15378,2.29921875,-0.45984375,9.196875,480.5
15379,2.29921875,-0.45984375,9.196875,480.53125
15380,2.1459375,-0.45984375,9.196875,480.5625
15381,2.29921875,-0.45984375,9.196875,480.59375
15382,2.29921875,-0.613125,9.043593750000001,480.625
15383,2.1459375,-0.45984375,9.196875,480.65625
15384,2.29921875,-0.45984375,9.196875,480.6875
15385,2.1459375,-0.45984375,9.196875,480.71875
15386,2.1459375,-0.613125,9.196875,480.75
15387,2.29921875,-0.45984375,9.196875,480.78125
15388,2.1459375,-0.45984375,9.043593750000001,480.8125
15389,2.1459375,-0.45984375,9.043593750000001,480.84375
15390,2.29921875,-0.613125,9.043593750000001,480.875
15391,2.1459375,-0.45984375,9.196875,480.90625
15392,2.1459375,-0.45984375,9.196875,480.9375
15393,2.29921875,-0.45984375,9.043593750000001,480.96875
15394,2.29921875,-0.613125,9.196875,481.0
15395,2.1459375,-0.45984375,9.043593750000001,481.03125
