,x,y,z,t
173570,-2.29921875,-9.656718750000001,2.60578125,5424.0
173571,-2.1459375,-9.656718750000001,2.9123437500000002,5424.03125
173572,-1.839375,-9.5034375,3.3721875000000003,5424.0625
173573,-1.6860937500000002,-9.81,3.83203125,5424.09375
173574,-1.6860937500000002,-9.81,3.83203125,5424.125
173575,-1.6860937500000002,-10.26984375,3.83203125,5424.15625
173576,-1.5328125000000001,-10.57640625,3.9853125,5424.1875
173577,-1.37953125,-10.7296875,4.13859375,5424.21875
173578,-1.5328125000000001,-9.350156250000001,3.9853125,5424.25
173579,-1.5328125000000001,-8.58375,3.83203125,5424.28125
173580,-1.37953125,-8.123906250000001,3.0656250000000003,5424.3125
173581,-1.22625,-8.430468750000001,2.9123437500000002,5424.34375
173582,-1.37953125,-9.043593750000001,3.0656250000000003,5424.375
173583,-1.839375,-9.656718750000001,3.0656250000000003,5424.40625
173584,-1.99265625,-9.656718750000001,3.0656250000000003,5424.4375
173585,-2.4525,-8.737031250000001,2.9123437500000002,5424.46875
173586,-2.4525,-8.2771875,2.9123437500000002,5424.5
173587,-1.99265625,-7.81734375,2.9123437500000002,5424.53125
173588,-1.5328125000000001,-7.81734375,3.0656250000000003,5424.5625
173589,-1.37953125,-7.970625,3.0656250000000003,5424.59375
173590,-1.5328125000000001,-8.2771875,3.3721875000000003,5424.625
173591,-1.839375,-8.2771875,3.5254687500000004,5424.65625
173592,-2.1459375,-8.430468750000001,3.83203125,5424.6875
173593,-1.99265625,-8.58375,4.291875,5424.71875
173594,-1.99265625,-8.737031250000001,4.5984375,5424.75
173595,-1.839375,-8.737031250000001,5.05828125,5424.78125
173596,-1.6860937500000002,-8.58375,5.05828125,5424.8125
173597,-1.6860937500000002,-9.043593750000001,5.05828125,5424.84375
173598,-1.99265625,-10.423125,5.05828125,5424.875
173599,-2.1459375,-11.03625,5.2115625,5424.90625
173600,-2.1459375,-11.49609375,5.36484375,5424.9375
173601,-2.1459375,-11.03625,4.905,5424.96875
173602,-1.839375,-9.656718750000001,3.9853125,5425.0
173603,-1.839375,-9.043593750000001,3.3721875000000003,5425.03125
173604,-1.839375,-9.043593750000001,3.2189062500000003,5425.0625
173605,-1.99265625,-9.196875,2.60578125,5425.09375
173606,-2.1459375,-9.196875,2.4525,5425.125
173607,-2.4525,-9.350156250000001,2.29921875,5425.15625
173608,-2.60578125,-9.350156250000001,2.60578125,5425.1875
173609,-2.4525,-9.350156250000001,2.60578125,5425.21875
173610,-2.1459375,-9.043593750000001,2.4525,5425.25
173611,-1.99265625,-8.8903125,2.4525,5425.28125
173612,-1.99265625,-8.737031250000001,2.7590625,5425.3125
173613,-1.99265625,-8.8903125,3.0656250000000003,5425.34375
173614,-1.99265625,-8.8903125,3.2189062500000003,5425.375
173615,-2.1459375,-8.8903125,3.2189062500000003,5425.40625
173616,-2.1459375,-8.8903125,3.2189062500000003,5425.4375
173617,-2.1459375,-8.737031250000001,3.3721875000000003,5425.46875
173618,-1.99265625,-8.737031250000001,3.5254687500000004,5425.5
173619,-1.839375,-8.58375,3.67875,5425.53125
173620,-1.839375,-9.5034375,3.5254687500000004,5425.5625
173621,-1.99265625,-9.96328125,3.3721875000000003,5425.59375
173622,-2.29921875,-10.57640625,3.2189062500000003,5425.625
173623,-2.4525,-10.7296875,3.0656250000000003,5425.65625
173624,-2.4525,-10.423125,2.9123437500000002,5425.6875
173625,-2.4525,-9.656718750000001,2.7590625,5425.71875
173626,-2.1459375,-9.81,2.60578125,5425.75
173627,-1.6860937500000002,-10.1165625,2.4525,5425.78125
173628,-1.99265625,-10.423125,2.29921875,5425.8125
173629,-2.1459375,-10.1165625,2.29921875,5425.84375
173630,-2.60578125,-8.737031250000001,2.4525,5425.875
173631,-2.60578125,-8.2771875,2.4525,5425.90625
173632,-2.29921875,-7.81734375,2.29921875,5425.9375
173633,-2.4525,-7.970625,2.4525,5425.96875
173634,-2.60578125,-8.2771875,2.7590625,5426.0
173635,-2.60578125,-8.430468750000001,3.2189062500000003,5426.03125
173636,-2.60578125,-8.430468750000001,3.5254687500000004,5426.0625
173637,-2.60578125,-8.8903125,4.13859375,5426.09375
173638,-2.7590625,-9.656718750000001,4.75171875,5426.125
173639,-2.60578125,-10.1165625,4.905,5426.15625
173640,-1.839375,-10.423125,4.75171875,5426.1875
173641,-1.6860937500000002,-10.26984375,4.44515625,5426.21875
173642,-1.99265625,-11.03625,4.44515625,5426.25
