x,y,z,t,resultant
5.05828125,2.60578125,7.51078125,6883.0,9.42274589025432
5.05828125,2.60578125,7.51078125,6883.03125,9.42274589025432
5.05828125,2.7590625,7.6640625,6883.0625,9.58835173984111
5.05828125,2.7590625,7.6640625,6883.09375,9.58835173984111
4.905,2.60578125,7.6640625,6883.125,9.465039615699336
5.05828125,2.7590625,7.51078125,6883.15625,9.466280688230166
5.05828125,2.7590625,7.51078125,6883.1875,9.466280688230166
5.05828125,2.7590625,7.51078125,6883.21875,9.466280688230166
5.05828125,2.7590625,7.6640625,6883.25,9.58835173984111
5.05828125,2.60578125,7.6640625,6883.28125,9.545373703049
5.05828125,2.60578125,7.6640625,6883.3125,9.545373703049
5.2115625,2.60578125,7.6640625,6883.34375,9.627478050775503
5.05828125,2.7590625,7.51078125,6883.375,9.466280688230166
5.05828125,2.60578125,7.6640625,6883.40625,9.545373703049
4.905,2.7590625,7.51078125,6883.4375,9.385269621287277
4.905,2.7590625,7.51078125,6883.46875,9.385269621287277
5.05828125,2.60578125,7.51078125,6883.5,9.42274589025432
5.05828125,2.60578125,7.51078125,6883.53125,9.42274589025432
5.05828125,2.60578125,7.6640625,6883.5625,9.545373703049
5.05828125,2.60578125,7.6640625,6883.59375,9.545373703049
5.05828125,2.60578125,7.6640625,6883.625,9.545373703049
5.05828125,2.60578125,7.51078125,6883.65625,9.42274589025432
5.2115625,2.60578125,7.6640625,6883.6875,9.627478050775503
5.05828125,2.60578125,7.51078125,6883.71875,9.42274589025432
5.05828125,2.60578125,7.6640625,6883.75,9.545373703049
4.905,2.7590625,7.81734375,6883.78125,9.63235766490065
4.905,2.60578125,7.6640625,6883.8125,9.465039615699336
4.905,2.7590625,7.51078125,6883.84375,9.385269621287277
5.05828125,2.60578125,7.51078125,6883.875,9.42274589025432
5.2115625,2.7590625,7.3575,6883.90625,9.428977453590209
5.05828125,2.4525,7.6640625,6883.9375,9.504673558729296
5.05828125,2.4525,7.6640625,6883.96875,9.504673558729296
5.05828125,2.60578125,7.6640625,6884.0,9.545373703049
5.05828125,2.60578125,7.51078125,6884.03125,9.42274589025432
5.2115625,2.7590625,7.51078125,6884.0625,9.549065114222651
5.05828125,2.7590625,7.51078125,6884.09375,9.466280688230166
4.905,2.7590625,7.6640625,6884.125,9.508380770815423
5.05828125,2.60578125,7.6640625,6884.15625,9.545373703049
4.905,2.60578125,7.6640625,6884.1875,9.465039615699336
5.05828125,2.4525,7.6640625,6884.21875,9.504673558729296
5.2115625,2.60578125,7.6640625,6884.25,9.627478050775503
5.2115625,2.60578125,7.51078125,6884.28125,9.505909456733184
5.05828125,2.60578125,7.51078125,6884.3125,9.42274589025432
5.05828125,2.4525,7.81734375,6884.34375,9.628698186139475
4.905,2.60578125,7.6640625,6884.375,9.465039615699336
5.2115625,2.60578125,7.51078125,6884.40625,9.505909456733184
5.2115625,2.7590625,7.51078125,6884.4375,9.549065114222651
5.05828125,2.60578125,7.6640625,6884.46875,9.545373703049
4.905,2.60578125,7.6640625,6884.5,9.465039615699336
5.2115625,2.4525,7.6640625,6884.53125,9.587126469662978
5.05828125,2.60578125,7.6640625,6884.5625,9.545373703049
5.2115625,2.4525,7.6640625,6884.59375,9.587126469662978
5.05828125,2.60578125,7.6640625,6884.625,9.545373703049
5.05828125,2.60578125,7.51078125,6884.65625,9.42274589025432
4.905,2.7590625,7.51078125,6884.6875,9.385269621287277
5.05828125,2.60578125,7.6640625,6884.71875,9.545373703049
5.05828125,2.60578125,7.6640625,6884.75,9.545373703049
5.2115625,2.60578125,7.6640625,6884.78125,9.627478050775503
5.05828125,2.60578125,7.51078125,6884.8125,9.42274589025432
5.05828125,2.4525,7.6640625,6884.84375,9.504673558729296
5.05828125,2.60578125,7.6640625,6884.875,9.545373703049
5.05828125,2.60578125,7.51078125,6884.90625,9.42274589025432
4.905,2.60578125,7.6640625,6884.9375,9.465039615699336
5.05828125,2.60578125,7.51078125,6884.96875,9.42274589025432
5.05828125,2.7590625,7.51078125,6885.0,9.466280688230166
5.05828125,2.7590625,7.51078125,6885.03125,9.466280688230166
5.05828125,2.60578125,7.6640625,6885.0625,9.545373703049
4.905,2.60578125,7.51078125,6885.09375,9.341357284046207
5.05828125,2.60578125,7.6640625,6885.125,9.545373703049
5.05828125,2.60578125,7.51078125,6885.15625,9.42274589025432
5.2115625,2.60578125,7.51078125,6885.1875,9.505909456733184
5.05828125,2.60578125,7.51078125,6885.21875,9.42274589025432
5.05828125,2.60578125,7.6640625,6885.25,9.545373703049
5.05828125,2.60578125,7.6640625,6885.28125,9.545373703049
5.05828125,2.4525,7.6640625,6885.3125,9.504673558729296
5.05828125,2.7590625,7.51078125,6885.34375,9.466280688230166
5.05828125,2.7590625,7.51078125,6885.375,9.466280688230166
4.905,2.7590625,7.51078125,6885.40625,9.385269621287277
5.05828125,2.7590625,7.51078125,6885.4375,9.466280688230166
