,x,y,z,t
268322,-1.99265625,-9.5034375,2.29921875,8385.0
268323,-1.839375,-9.5034375,2.29921875,8385.03125
268324,-1.99265625,-9.5034375,2.29921875,8385.0625
268325,-1.839375,-9.5034375,2.4525,8385.09375
268326,-1.839375,-9.656718750000001,2.29921875,8385.125
268327,-1.99265625,-9.656718750000001,2.29921875,8385.15625
268328,-1.99265625,-9.5034375,2.29921875,8385.1875
268329,-1.99265625,-9.5034375,2.29921875,8385.21875
268330,-1.99265625,-9.5034375,2.29921875,8385.25
268331,-1.839375,-9.5034375,2.29921875,8385.28125
268332,-1.839375,-9.5034375,2.29921875,8385.3125
268333,-1.839375,-9.5034375,2.29921875,8385.34375
268334,-1.99265625,-9.5034375,2.29921875,8385.375
268335,-1.99265625,-9.350156250000001,2.29921875,8385.40625
268336,-1.99265625,-9.350156250000001,2.1459375,8385.4375
268337,-2.1459375,-9.350156250000001,2.1459375,8385.46875
268338,-2.1459375,-9.5034375,2.29921875,8385.5
268339,-2.29921875,-9.5034375,2.29921875,8385.53125
268340,-2.29921875,-9.656718750000001,2.29921875,8385.5625
268341,-2.29921875,-9.656718750000001,2.29921875,8385.59375
268342,-2.1459375,-9.5034375,2.29921875,8385.625
268343,-1.99265625,-9.656718750000001,2.29921875,8385.65625
268344,-1.99265625,-9.5034375,2.29921875,8385.6875
268345,-2.1459375,-9.656718750000001,2.1459375,8385.71875
268346,-1.99265625,-9.656718750000001,2.29921875,8385.75
268347,-1.99265625,-9.5034375,2.29921875,8385.78125
268348,-1.99265625,-9.656718750000001,2.1459375,8385.8125
268349,-1.839375,-9.656718750000001,2.1459375,8385.84375
268350,-1.99265625,-9.5034375,2.1459375,8385.875
268351,-2.1459375,-9.5034375,2.29921875,8385.90625
268352,-2.1459375,-9.5034375,2.1459375,8385.9375
268353,-1.99265625,-9.5034375,2.29921875,8385.96875
268354,-2.1459375,-9.5034375,2.1459375,8386.0
268355,-1.99265625,-9.350156250000001,2.29921875,8386.03125
268356,-1.839375,-9.5034375,2.1459375,8386.0625
268357,-1.839375,-9.5034375,2.29921875,8386.09375
268358,-1.99265625,-9.5034375,2.29921875,8386.125
268359,-1.99265625,-9.5034375,2.29921875,8386.15625
268360,-2.1459375,-9.5034375,2.4525,8386.1875
268361,-2.29921875,-9.5034375,2.4525,8386.21875
268362,-2.29921875,-9.5034375,2.4525,8386.25
268363,-2.29921875,-9.5034375,2.4525,8386.28125
268364,-2.29921875,-9.5034375,2.4525,8386.3125
268365,-2.1459375,-9.5034375,2.29921875,8386.34375
268366,-1.99265625,-9.5034375,2.29921875,8386.375
268367,-1.99265625,-9.5034375,2.29921875,8386.40625
268368,-1.99265625,-9.5034375,2.4525,8386.4375
268369,-1.99265625,-9.350156250000001,2.4525,8386.46875
268370,-1.99265625,-9.350156250000001,2.4525,8386.5
268371,-1.99265625,-9.5034375,2.29921875,8386.53125
268372,-2.1459375,-9.5034375,2.29921875,8386.5625
268373,-2.1459375,-9.5034375,2.29921875,8386.59375
268374,-2.1459375,-9.5034375,2.1459375,8386.625
268375,-2.1459375,-9.5034375,2.1459375,8386.65625
268376,-1.839375,-9.5034375,2.29921875,8386.6875
268377,-1.839375,-9.5034375,2.29921875,8386.71875
268378,-1.839375,-9.5034375,2.29921875,8386.75
268379,-1.99265625,-9.656718750000001,2.29921875,8386.78125
268380,-1.99265625,-9.5034375,2.29921875,8386.8125
268381,-1.99265625,-9.5034375,2.29921875,8386.84375
268382,-1.839375,-9.5034375,2.29921875,8386.875
268383,-1.99265625,-9.5034375,2.29921875,8386.90625
