,x,y,z,t
327490,5.67140625,-1.839375,7.51078125,10234.0
327491,5.67140625,-1.839375,7.51078125,10234.03125
327492,5.67140625,-1.839375,7.3575,10234.0625
327493,5.67140625,-1.839375,7.51078125,10234.09375
327494,5.67140625,-1.839375,7.51078125,10234.125
327495,5.67140625,-1.839375,7.51078125,10234.15625
327496,5.67140625,-1.839375,7.51078125,10234.1875
327497,5.67140625,-1.839375,7.51078125,10234.21875
327498,5.67140625,-1.839375,7.51078125,10234.25
327499,5.67140625,-1.839375,7.51078125,10234.28125
327500,5.67140625,-1.839375,7.51078125,10234.3125
327501,5.518125,-1.839375,7.51078125,10234.34375
327502,5.67140625,-1.839375,7.51078125,10234.375
327503,5.67140625,-1.839375,7.51078125,10234.40625
327504,5.67140625,-1.839375,7.51078125,10234.4375
327505,5.67140625,-1.839375,7.51078125,10234.46875
327506,5.67140625,-1.99265625,7.51078125,10234.5
327507,5.518125,-1.839375,7.51078125,10234.53125
327508,5.518125,-1.99265625,7.51078125,10234.5625
327509,5.518125,-1.99265625,7.51078125,10234.59375
327510,5.518125,-1.99265625,7.51078125,10234.625
327511,5.67140625,-1.99265625,7.51078125,10234.65625
327512,5.518125,-1.99265625,7.51078125,10234.6875
327513,5.67140625,-1.99265625,7.51078125,10234.71875
327514,5.67140625,-1.99265625,7.51078125,10234.75
327515,5.67140625,-1.99265625,7.51078125,10234.78125
327516,5.67140625,-1.99265625,7.51078125,10234.8125
327517,5.67140625,-1.99265625,7.51078125,10234.84375
327518,5.67140625,-1.99265625,7.51078125,10234.875
327519,5.67140625,-1.99265625,7.51078125,10234.90625
327520,5.67140625,-1.99265625,7.51078125,10234.9375
327521,5.67140625,-1.99265625,7.51078125,10234.96875
327522,5.518125,-1.99265625,7.51078125,10235.0
327523,5.67140625,-1.99265625,7.51078125,10235.03125
327524,5.67140625,-1.839375,7.51078125,10235.0625
327525,5.67140625,-1.839375,7.51078125,10235.09375
327526,5.67140625,-1.99265625,7.51078125,10235.125
327527,5.518125,-1.99265625,7.51078125,10235.15625
327528,5.67140625,-1.99265625,7.51078125,10235.1875
327529,5.67140625,-1.99265625,7.51078125,10235.21875
327530,5.67140625,-1.839375,7.51078125,10235.25
327531,5.67140625,-1.99265625,7.51078125,10235.28125
327532,5.67140625,-1.99265625,7.51078125,10235.3125
327533,5.67140625,-1.99265625,7.51078125,10235.34375
327534,5.67140625,-1.99265625,7.51078125,10235.375
327535,5.67140625,-1.99265625,7.51078125,10235.40625
327536,5.67140625,-1.99265625,7.3575,10235.4375
327537,5.67140625,-1.99265625,7.51078125,10235.46875
327538,5.67140625,-1.99265625,7.51078125,10235.5
327539,5.67140625,-1.99265625,7.51078125,10235.53125
327540,5.67140625,-1.99265625,7.51078125,10235.5625
327541,5.67140625,-1.99265625,7.050937500000001,10235.59375
327542,5.67140625,-1.99265625,7.51078125,10235.625
327543,5.67140625,-1.99265625,7.51078125,10235.65625
327544,5.67140625,-1.99265625,7.51078125,10235.6875
327545,5.67140625,-1.99265625,7.51078125,10235.71875
327546,5.67140625,-1.99265625,7.51078125,10235.75
327547,5.67140625,-1.99265625,7.51078125,10235.78125
327548,5.67140625,-1.99265625,7.51078125,10235.8125
327549,5.518125,-2.1459375,7.51078125,10235.84375
327550,5.67140625,-2.1459375,7.3575,10235.875
327551,5.67140625,-2.1459375,7.3575,10235.90625
327552,5.8246875000000005,-2.1459375,7.3575,10235.9375
327553,5.9779687500000005,-2.1459375,7.204218750000001,10235.96875
327554,5.9779687500000005,-2.1459375,7.204218750000001,10236.0
327555,5.9779687500000005,-2.1459375,7.204218750000001,10236.03125
327556,6.1312500000000005,-2.1459375,7.204218750000001,10236.0625
327557,6.1312500000000005,-2.1459375,7.050937500000001,10236.09375
327558,6.284531250000001,-2.1459375,7.050937500000001,10236.125
327559,6.284531250000001,-2.1459375,6.897656250000001,10236.15625
327560,6.284531250000001,-2.1459375,6.897656250000001,10236.1875
327561,6.284531250000001,-2.1459375,6.897656250000001,10236.21875
327562,6.437812500000001,-2.1459375,6.897656250000001,10236.25
327563,6.284531250000001,-2.1459375,6.897656250000001,10236.28125
327564,6.284531250000001,-2.1459375,6.897656250000001,10236.3125
327565,6.284531250000001,-2.1459375,6.897656250000001,10236.34375
327566,6.284531250000001,-2.1459375,6.897656250000001,10236.375
327567,6.284531250000001,-2.29921875,7.050937500000001,10236.40625
327568,6.1312500000000005,-2.29921875,6.897656250000001,10236.4375
327569,6.1312500000000005,-2.29921875,7.050937500000001,10236.46875
327570,6.1312500000000005,-2.29921875,7.050937500000001,10236.5
327571,6.284531250000001,-2.1459375,7.050937500000001,10236.53125
327572,6.1312500000000005,-2.29921875,7.050937500000001,10236.5625
327573,6.1312500000000005,-2.29921875,7.050937500000001,10236.59375
327574,6.1312500000000005,-2.29921875,7.050937500000001,10236.625
327575,6.1312500000000005,-2.1459375,7.050937500000001,10236.65625
327576,6.1312500000000005,-2.29921875,7.050937500000001,10236.6875
327577,6.1312500000000005,-2.29921875,7.050937500000001,10236.71875
327578,6.1312500000000005,-2.1459375,7.050937500000001,10236.75
327579,6.1312500000000005,-2.1459375,7.050937500000001,10236.78125
327580,6.1312500000000005,-2.29921875,7.050937500000001,10236.8125
327581,6.1312500000000005,-2.29921875,7.204218750000001,10236.84375
327582,6.1312500000000005,-2.29921875,7.050937500000001,10236.875
327583,6.1312500000000005,-2.1459375,7.050937500000001,10236.90625
327584,6.1312500000000005,-2.1459375,7.050937500000001,10236.9375
327585,6.1312500000000005,-2.1459375,7.050937500000001,10236.96875
327586,6.1312500000000005,-2.1459375,7.050937500000001,10237.0
327587,6.1312500000000005,-2.1459375,7.050937500000001,10237.03125
327588,6.1312500000000005,-2.1459375,7.050937500000001,10237.0625
327589,6.1312500000000005,-2.1459375,7.050937500000001,10237.09375
327590,6.1312500000000005,-2.1459375,7.050937500000001,10237.125
327591,6.1312500000000005,-2.1459375,7.050937500000001,10237.15625
327592,6.1312500000000005,-2.1459375,7.050937500000001,10237.1875
327593,6.1312500000000005,-2.29921875,7.050937500000001,10237.21875
327594,6.1312500000000005,-2.1459375,7.050937500000001,10237.25
327595,6.1312500000000005,-2.1459375,7.050937500000001,10237.28125
327596,6.1312500000000005,-2.1459375,7.050937500000001,10237.3125
327597,6.1312500000000005,-2.1459375,7.050937500000001,10237.34375
327598,6.1312500000000005,-2.1459375,7.050937500000001,10237.375
327599,6.1312500000000005,-2.1459375,7.050937500000001,10237.40625
327600,6.1312500000000005,-2.1459375,7.050937500000001,10237.4375
327601,6.1312500000000005,-2.1459375,7.050937500000001,10237.46875
327602,6.1312500000000005,-2.1459375,7.050937500000001,10237.5
327603,6.1312500000000005,-2.29921875,7.050937500000001,10237.53125
327604,6.1312500000000005,-2.1459375,7.050937500000001,10237.5625
327605,6.1312500000000005,-2.1459375,7.050937500000001,10237.59375
327606,6.1312500000000005,-2.1459375,7.050937500000001,10237.625
327607,6.1312500000000005,-2.1459375,7.050937500000001,10237.65625
327608,6.1312500000000005,-2.1459375,7.050937500000001,10237.6875
327609,6.1312500000000005,-2.1459375,7.050937500000001,10237.71875
327610,6.1312500000000005,-2.1459375,7.050937500000001,10237.75
327611,6.1312500000000005,-2.1459375,7.050937500000001,10237.78125
327612,6.1312500000000005,-2.1459375,7.050937500000001,10237.8125
327613,6.1312500000000005,-2.29921875,7.050937500000001,10237.84375
327614,6.1312500000000005,-2.1459375,7.050937500000001,10237.875
327615,6.1312500000000005,-2.1459375,7.050937500000001,10237.90625
327616,6.1312500000000005,-2.29921875,7.050937500000001,10237.9375
327617,6.1312500000000005,-2.1459375,7.050937500000001,10237.96875
327618,6.1312500000000005,-2.1459375,7.050937500000001,10238.0
327619,6.1312500000000005,-2.1459375,7.050937500000001,10238.03125
327620,6.1312500000000005,-2.29921875,7.050937500000001,10238.0625
327621,6.1312500000000005,-2.29921875,7.050937500000001,10238.09375
327622,6.1312500000000005,-2.1459375,7.050937500000001,10238.125
327623,6.284531250000001,-2.29921875,7.050937500000001,10238.15625
327624,6.1312500000000005,-1.99265625,7.050937500000001,10238.1875
327625,6.284531250000001,-2.29921875,7.050937500000001,10238.21875
327626,6.1312500000000005,-2.29921875,7.050937500000001,10238.25
327627,6.1312500000000005,-2.29921875,7.050937500000001,10238.28125
327628,6.284531250000001,-2.29921875,7.050937500000001,10238.3125
327629,6.1312500000000005,-2.29921875,7.050937500000001,10238.34375
327630,6.1312500000000005,-2.29921875,7.050937500000001,10238.375
327631,6.1312500000000005,-2.29921875,7.050937500000001,10238.40625
327632,6.1312500000000005,-2.29921875,7.050937500000001,10238.4375
327633,6.1312500000000005,-2.29921875,7.050937500000001,10238.46875
327634,6.1312500000000005,-2.29921875,7.050937500000001,10238.5
327635,6.1312500000000005,-2.29921875,7.050937500000001,10238.53125
327636,6.1312500000000005,-2.29921875,7.050937500000001,10238.5625
327637,6.1312500000000005,-2.29921875,7.050937500000001,10238.59375
327638,6.1312500000000005,-2.29921875,7.050937500000001,10238.625
327639,6.1312500000000005,-2.29921875,7.050937500000001,10238.65625
327640,6.1312500000000005,-2.29921875,7.050937500000001,10238.6875
327641,6.1312500000000005,-2.29921875,7.050937500000001,10238.71875
327642,5.9779687500000005,-2.29921875,7.050937500000001,10238.75
327643,6.1312500000000005,-2.29921875,7.050937500000001,10238.78125
327644,6.284531250000001,-2.29921875,7.050937500000001,10238.8125
327645,6.1312500000000005,-2.29921875,7.050937500000001,10238.84375
327646,6.1312500000000005,-2.29921875,7.050937500000001,10238.875
327647,6.1312500000000005,-2.29921875,7.050937500000001,10238.90625
327648,6.284531250000001,-2.29921875,7.050937500000001,10238.9375
327649,6.1312500000000005,-2.29921875,6.897656250000001,10238.96875
327650,6.284531250000001,-2.29921875,7.050937500000001,10239.0
327651,6.1312500000000005,-2.29921875,7.050937500000001,10239.03125
327652,6.1312500000000005,-2.29921875,7.050937500000001,10239.0625
327653,6.1312500000000005,-2.29921875,7.050937500000001,10239.09375
327654,6.284531250000001,-2.29921875,7.050937500000001,10239.125
327655,6.1312500000000005,-2.29921875,7.050937500000001,10239.15625
