,x,y,z,t
146306,-4.291875,-8.123906250000001,-1.37953125,4572.0
146307,-4.13859375,-8.737031250000001,-1.07296875,4572.03125
146308,-4.44515625,-9.5034375,-0.3065625,4572.0625
146309,-4.44515625,-9.81,0.15328125,4572.09375
146310,-6.437812500000001,-9.96328125,1.22625,4572.125
146311,-7.050937500000001,-9.350156250000001,1.839375,4572.15625
146312,-7.6640625,-7.81734375,1.99265625,4572.1875
146313,-6.897656250000001,-6.897656250000001,0.9196875,4572.21875
146314,-6.591093750000001,-6.744375000000001,0.3065625,4572.25
146315,-5.8246875000000005,-7.204218750000001,-0.15328125,4572.28125
146316,-5.518125,-7.6640625,0.0,4572.3125
146317,-4.905,-8.123906250000001,0.613125,4572.34375
146318,-5.2115625,-8.430468750000001,1.37953125,4572.375
146319,-5.8246875000000005,-8.58375,1.5328125000000001,4572.40625
146320,-6.284531250000001,-8.430468750000001,1.99265625,4572.4375
146321,-6.437812500000001,-8.2771875,1.99265625,4572.46875
146322,-6.1312500000000005,-7.970625,2.4525,4572.5
146323,-5.518125,-7.81734375,2.7590625,4572.53125
146324,-5.518125,-7.81734375,2.7590625,4572.5625
146325,-5.8246875000000005,-7.6640625,2.29921875,4572.59375
146326,-4.75171875,-7.6640625,2.7590625,4572.625
146327,-7.81734375,-7.204218750000001,2.1459375,4572.65625
146328,-6.437812500000001,-6.897656250000001,2.1459375,4572.6875
146329,-7.204218750000001,-7.3575,3.2189062500000003,4572.71875
146330,2.60578125,-6.744375000000001,5.9779687500000005,4572.75
146331,-1.5328125000000001,-7.050937500000001,4.291875,4572.78125
146332,-3.67875,-9.043593750000001,3.83203125,4572.8125
146333,-4.13859375,-8.8903125,3.83203125,4572.84375
146334,-3.83203125,-8.58375,3.67875,4572.875
146335,-3.9853125,-8.58375,3.3721875000000003,4572.90625
146336,-4.13859375,-8.430468750000001,2.9123437500000002,4572.9375
146337,-4.75171875,-7.970625,2.9123437500000002,4572.96875
146338,-5.36484375,-7.204218750000001,2.4525,4573.0
146339,-5.36484375,-6.897656250000001,2.1459375,4573.03125
146340,-5.518125,-7.050937500000001,1.5328125000000001,4573.0625
146341,-5.67140625,-7.204218750000001,0.7664062500000001,4573.09375
146342,-5.9779687500000005,-7.970625,0.7664062500000001,4573.125
146343,-6.1312500000000005,-8.8903125,1.07296875,4573.15625
146344,-5.9779687500000005,-9.5034375,1.99265625,4573.1875
146345,-5.8246875000000005,-10.26984375,3.0656250000000003,4573.21875
146346,-5.2115625,-9.656718750000001,2.4525,4573.25
146347,-4.5984375,-9.043593750000001,1.839375,4573.28125
146348,-3.2189062500000003,-7.81734375,0.9196875,4573.3125
146349,-3.2189062500000003,-7.204218750000001,0.613125,4573.34375
146350,-3.83203125,-6.897656250000001,0.7664062500000001,4573.375
146351,-5.518125,-7.6640625,1.5328125000000001,4573.40625
146352,-6.897656250000001,-8.2771875,1.839375,4573.4375
146353,-7.51078125,-9.043593750000001,2.4525,4573.46875
146354,-6.897656250000001,-9.043593750000001,2.29921875,4573.5
146355,-5.518125,-8.737031250000001,1.6860937500000002,4573.53125
146356,-5.05828125,-8.123906250000001,1.37953125,4573.5625
146357,-5.2115625,-7.970625,1.37953125,4573.59375
146358,-5.9779687500000005,-7.6640625,1.6860937500000002,4573.625
146359,-6.284531250000001,-7.3575,1.839375,4573.65625
146360,-6.744375000000001,-7.204218750000001,1.6860937500000002,4573.6875
146361,-7.3575,-7.050937500000001,1.6860937500000002,4573.71875
146362,-7.6640625,-6.897656250000001,1.99265625,4573.75
146363,-8.430468750000001,-6.897656250000001,2.1459375,4573.78125
146364,-8.2771875,-6.897656250000001,2.29921875,4573.8125
146365,-7.51078125,-7.204218750000001,1.839375,4573.84375
146366,-6.897656250000001,-8.2771875,1.22625,4573.875
146367,-6.591093750000001,-8.8903125,1.5328125000000001,4573.90625
146368,-5.8246875000000005,-9.196875,3.2189062500000003,4573.9375
146369,-5.36484375,-9.043593750000001,3.5254687500000004,4573.96875
146370,-5.36484375,-7.81734375,2.4525,4574.0
146371,-5.05828125,-6.744375000000001,1.07296875,4574.03125
146372,-4.75171875,-6.437812500000001,0.3065625,4574.0625
146373,-3.9853125,-6.591093750000001,-0.3065625,4574.09375
146374,-3.83203125,-7.050937500000001,-0.15328125,4574.125
146375,-3.5254687500000004,-8.2771875,0.9196875,4574.15625
146376,-3.0656250000000003,-9.96328125,3.0656250000000003,4574.1875
146377,-3.3721875000000003,-10.57640625,3.83203125,4574.21875
146378,-4.5984375,-10.7296875,3.3721875000000003,4574.25
146379,-5.2115625,-10.26984375,2.60578125,4574.28125
146380,-5.67140625,-8.58375,1.22625,4574.3125
146381,-5.2115625,-7.3575,0.9196875,4574.34375
146382,-5.2115625,-6.897656250000001,0.9196875,4574.375
146383,-5.36484375,-6.744375000000001,1.5328125000000001,4574.40625
146384,-5.36484375,-6.897656250000001,2.1459375,4574.4375
146385,-5.67140625,-7.970625,3.0656250000000003,4574.46875
146386,-5.8246875000000005,-8.58375,2.7590625,4574.5
146387,-5.8246875000000005,-8.58375,2.4525,4574.53125
146388,-5.67140625,-8.2771875,1.99265625,4574.5625
146389,-5.8246875000000005,-7.970625,1.839375,4574.59375
146390,-5.9779687500000005,-7.6640625,1.99265625,4574.625
146391,-5.9779687500000005,-7.51078125,1.99265625,4574.65625
146392,-5.8246875000000005,-7.51078125,1.99265625,4574.6875
146393,-5.518125,-7.3575,2.1459375,4574.71875
146394,-5.518125,-7.51078125,2.29921875,4574.75
146395,-5.67140625,-7.6640625,2.60578125,4574.78125
146396,-5.8246875000000005,-7.81734375,2.9123437500000002,4574.8125
146397,-5.9779687500000005,-7.81734375,3.2189062500000003,4574.84375
146398,-6.284531250000001,-8.2771875,2.60578125,4574.875
146399,-6.437812500000001,-8.430468750000001,1.99265625,4574.90625
146400,-6.284531250000001,-9.350156250000001,0.7664062500000001,4574.9375
146401,-5.9779687500000005,-9.196875,0.0,4574.96875
146402,-5.36484375,-8.737031250000001,0.0,4575.0
146403,-4.905,-8.737031250000001,0.0,4575.03125
146404,-5.518125,-8.58375,0.3065625,4575.0625
146405,-6.1312500000000005,-8.58375,1.6860937500000002,4575.09375
146406,-5.8246875000000005,-7.81734375,0.45984375,4575.125
146407,-5.8246875000000005,-7.51078125,0.15328125,4575.15625
146408,-5.8246875000000005,-6.744375000000001,-0.3065625,4575.1875
146409,-5.8246875000000005,-6.591093750000001,-0.45984375,4575.21875
146410,-5.9779687500000005,-6.591093750000001,-0.45984375,4575.25
146411,-6.284531250000001,-7.204218750000001,0.15328125,4575.28125
146412,-6.437812500000001,-7.3575,0.15328125,4575.3125
146413,-6.897656250000001,-7.6640625,-0.15328125,4575.34375
146414,-7.050937500000001,-7.6640625,-0.45984375,4575.375
146415,-7.204218750000001,-7.81734375,-0.613125,4575.40625
146416,-6.744375000000001,-7.81734375,-0.45984375,4575.4375
146417,-6.744375000000001,-7.970625,-0.15328125,4575.46875
146418,-6.591093750000001,-7.970625,0.3065625,4575.5
146419,-6.284531250000001,-7.6640625,0.15328125,4575.53125
146420,-5.67140625,-7.050937500000001,-0.15328125,4575.5625
146421,-5.518125,-6.897656250000001,-0.3065625,4575.59375
146422,-5.8246875000000005,-7.050937500000001,-0.3065625,4575.625
146423,-6.591093750000001,-7.6640625,0.0,4575.65625
146424,-6.897656250000001,-7.970625,0.15328125,4575.6875
146425,-7.3575,-8.2771875,0.15328125,4575.71875
146426,-6.437812500000001,-8.2771875,0.45984375,4575.75
146427,-6.1312500000000005,-8.123906250000001,0.613125,4575.78125
146428,-5.67140625,-7.970625,0.3065625,4575.8125
146429,-5.518125,-7.970625,0.15328125,4575.84375
146430,-5.518125,-7.81734375,0.15328125,4575.875
146431,-5.8246875000000005,-7.6640625,0.3065625,4575.90625
146432,-6.284531250000001,-7.6640625,0.45984375,4575.9375
146433,-7.204218750000001,-7.6640625,0.613125,4575.96875
146434,-7.51078125,-7.6640625,0.613125,4576.0
146435,-7.3575,-7.6640625,0.7664062500000001,4576.03125
146436,-6.897656250000001,-7.6640625,0.9196875,4576.0625
146437,-6.744375000000001,-7.81734375,0.613125,4576.09375
146438,-7.050937500000001,-7.81734375,0.0,4576.125
146439,-6.591093750000001,-7.51078125,0.0,4576.15625
146440,-6.284531250000001,-7.6640625,-0.3065625,4576.1875
146441,-7.3575,-8.58375,-1.07296875,4576.21875
146442,-7.970625,-9.043593750000001,-0.9196875,4576.25
146443,-7.6640625,-8.123906250000001,0.613125,4576.28125
146444,-6.897656250000001,-7.6640625,0.9196875,4576.3125
146445,-5.67140625,-6.591093750000001,0.613125,4576.34375
146446,-5.2115625,-6.744375000000001,-0.613125,4576.375
146447,-5.36484375,-6.897656250000001,-1.07296875,4576.40625
146448,-5.67140625,-7.050937500000001,-1.6860937500000002,4576.4375
146449,-5.67140625,-7.204218750000001,-1.37953125,4576.46875
146450,-5.8246875000000005,-7.6640625,-0.613125,4576.5
146451,-5.9779687500000005,-8.737031250000001,0.3065625,4576.53125
146452,-5.8246875000000005,-8.8903125,0.45984375,4576.5625
146453,-5.518125,-9.196875,0.45984375,4576.59375
146454,-5.36484375,-9.196875,0.45984375,4576.625
146455,-5.518125,-8.737031250000001,0.3065625,4576.65625
146456,-6.1312500000000005,-8.2771875,0.3065625,4576.6875
146457,-6.437812500000001,-7.970625,0.3065625,4576.71875
146458,-6.1312500000000005,-7.204218750000001,0.3065625,4576.75
146459,-5.9779687500000005,-7.204218750000001,0.3065625,4576.78125
146460,-5.9779687500000005,-7.51078125,0.15328125,4576.8125
146461,-5.9779687500000005,-8.123906250000001,0.613125,4576.84375
146462,-5.9779687500000005,-8.430468750000001,0.7664062500000001,4576.875
146463,-5.9779687500000005,-8.58375,1.22625,4576.90625
146464,-5.9779687500000005,-8.58375,1.37953125,4576.9375
146465,-5.9779687500000005,-8.430468750000001,1.22625,4576.96875
146466,-6.284531250000001,-8.2771875,1.22625,4577.0
146467,-6.591093750000001,-8.8903125,1.07296875,4577.03125
146468,-7.51078125,-9.350156250000001,0.9196875,4577.0625
146469,-7.6640625,-9.656718750000001,1.07296875,4577.09375
146470,-7.51078125,-9.043593750000001,1.5328125000000001,4577.125
146471,-6.591093750000001,-8.123906250000001,2.29921875,4577.15625
146472,-6.437812500000001,-8.430468750000001,2.4525,4577.1875
146473,-6.591093750000001,-8.58375,2.9123437500000002,4577.21875
146474,-7.050937500000001,-8.2771875,2.7590625,4577.25
