,x,y,z,t
32738,-5.518125,1.37953125,7.6640625,1023.0
32739,-5.518125,1.5328125000000001,7.6640625,1023.03125
32740,-5.518125,1.5328125000000001,7.6640625,1023.0625
32741,-5.518125,1.5328125000000001,7.6640625,1023.09375
32742,-5.518125,1.37953125,7.6640625,1023.125
32743,-5.518125,1.37953125,7.6640625,1023.15625
32744,-5.518125,1.37953125,7.6640625,1023.1875
32745,-5.518125,1.5328125000000001,7.6640625,1023.21875
32746,-5.518125,1.5328125000000001,7.6640625,1023.25
32747,-5.518125,1.37953125,7.6640625,1023.28125
32748,-5.518125,1.37953125,7.6640625,1023.3125
32749,-5.518125,1.37953125,7.6640625,1023.34375
32750,-5.518125,1.5328125000000001,7.6640625,1023.375
32751,-5.518125,1.5328125000000001,7.6640625,1023.40625
32752,-5.67140625,1.37953125,7.6640625,1023.4375
32753,-5.518125,1.37953125,7.6640625,1023.46875
32754,-5.518125,1.37953125,7.51078125,1023.5
32755,-5.518125,1.5328125000000001,7.6640625,1023.53125
32756,-5.518125,1.5328125000000001,7.6640625,1023.5625
32757,-5.67140625,1.37953125,7.6640625,1023.59375
32758,-5.518125,1.37953125,7.6640625,1023.625
32759,-5.518125,1.37953125,7.6640625,1023.65625
32760,-5.518125,1.37953125,7.6640625,1023.6875
32761,-5.518125,1.5328125000000001,7.51078125,1023.71875
32762,-5.518125,1.37953125,7.6640625,1023.75
32763,-5.518125,1.37953125,7.6640625,1023.78125
32764,-5.518125,1.37953125,7.6640625,1023.8125
32765,-5.518125,1.37953125,7.6640625,1023.84375
32766,-5.518125,1.37953125,7.6640625,1023.875
32767,-5.518125,1.37953125,7.6640625,1023.90625
32768,-5.518125,1.37953125,7.6640625,1023.9375
32769,-5.518125,1.37953125,7.6640625,1023.96875
32770,-5.518125,1.37953125,7.6640625,1024.0
32771,-5.518125,1.37953125,7.6640625,1024.03125
32772,-5.518125,1.37953125,7.6640625,1024.0625
32773,-5.518125,1.22625,7.6640625,1024.09375
32774,-5.518125,1.37953125,7.6640625,1024.125
