,x,y,z,t
79522,-3.83203125,-8.737031250000001,-0.613125,2485.0
79523,-3.83203125,-9.350156250000001,-0.7664062500000001,2485.03125
79524,-3.83203125,-9.656718750000001,-0.7664062500000001,2485.0625
79525,-3.67875,-9.96328125,-0.7664062500000001,2485.09375
79526,-3.3721875000000003,-9.96328125,-0.613125,2485.125
79527,-3.0656250000000003,-9.81,-0.613125,2485.15625
79528,-3.3721875000000003,-9.656718750000001,-0.7664062500000001,2485.1875
79529,-3.3721875000000003,-9.5034375,-0.7664062500000001,2485.21875
79530,-3.3721875000000003,-9.196875,-0.9196875,2485.25
79531,-3.5254687500000004,-9.350156250000001,-1.07296875,2485.28125
79532,-3.83203125,-9.81,-1.07296875,2485.3125
79533,-3.67875,-9.96328125,-0.9196875,2485.34375
79534,-3.83203125,-9.5034375,-0.9196875,2485.375
79535,-4.13859375,-9.043593750000001,-0.9196875,2485.40625
79536,-4.13859375,-9.043593750000001,-0.9196875,2485.4375
79537,-4.291875,-9.043593750000001,-0.7664062500000001,2485.46875
79538,-4.44515625,-9.043593750000001,-0.7664062500000001,2485.5
79539,-4.44515625,-9.196875,-0.7664062500000001,2485.53125
79540,-3.9853125,-9.196875,-0.613125,2485.5625
79541,-3.9853125,-9.043593750000001,-0.613125,2485.59375
79542,-4.291875,-9.043593750000001,-0.613125,2485.625
79543,-4.44515625,-9.196875,-0.45984375,2485.65625
79544,-4.44515625,-9.043593750000001,-0.3065625,2485.6875
79545,-4.291875,-10.88296875,-0.15328125,2485.71875
79546,-3.9853125,-11.03625,0.0,2485.75
79547,-3.83203125,-9.96328125,0.3065625,2485.78125
79548,-3.83203125,-8.8903125,0.613125,2485.8125
79549,-3.9853125,-9.196875,0.613125,2485.84375
79550,-4.13859375,-9.350156250000001,0.9196875,2485.875
79551,-3.9853125,-9.196875,1.07296875,2485.90625
79552,-3.5254687500000004,-9.043593750000001,0.9196875,2485.9375
79553,-3.2189062500000003,-9.196875,0.9196875,2485.96875
79554,-3.0656250000000003,-9.350156250000001,1.07296875,2486.0
79555,-3.3721875000000003,-9.350156250000001,1.37953125,2486.03125
79556,-3.2189062500000003,-9.196875,1.5328125000000001,2486.0625
79557,-3.0656250000000003,-8.8903125,1.99265625,2486.09375
79558,-3.83203125,-8.58375,1.5328125000000001,2486.125
79559,-3.9853125,-8.58375,1.37953125,2486.15625
79560,-3.67875,-8.58375,1.07296875,2486.1875
79561,-3.5254687500000004,-8.123906250000001,0.9196875,2486.21875
79562,-3.3721875000000003,-8.2771875,0.9196875,2486.25
79563,-3.0656250000000003,-9.96328125,1.37953125,2486.28125
79564,-2.9123437500000002,-10.1165625,1.6860937500000002,2486.3125
79565,-3.9853125,-10.26984375,0.9196875,2486.34375
79566,-4.44515625,-9.5034375,0.15328125,2486.375
79567,-3.2189062500000003,-9.350156250000001,-0.15328125,2486.40625
79568,-3.3721875000000003,-9.656718750000001,-0.15328125,2486.4375
79569,-3.67875,-9.656718750000001,-0.3065625,2486.46875
79570,-3.67875,-10.26984375,-0.7664062500000001,2486.5
79571,-3.5254687500000004,-10.1165625,-0.613125,2486.53125
79572,-2.7590625,-10.1165625,-0.15328125,2486.5625
79573,-2.4525,-9.196875,0.0,2486.59375
79574,-2.29921875,-8.58375,0.3065625,2486.625
79575,-2.4525,-8.430468750000001,0.45984375,2486.65625
79576,-2.7590625,-8.430468750000001,0.3065625,2486.6875
