,x,y,z,t
55874,-7.81734375,-1.6860937500000002,5.36484375,1746.0
55875,-7.81734375,-1.6860937500000002,5.36484375,1746.03125
55876,-7.81734375,-1.6860937500000002,5.36484375,1746.0625
55877,-7.81734375,-1.6860937500000002,5.36484375,1746.09375
55878,-7.81734375,-1.6860937500000002,5.36484375,1746.125
55879,-7.81734375,-1.6860937500000002,5.36484375,1746.15625
55880,-7.6640625,-1.6860937500000002,5.36484375,1746.1875
55881,-7.6640625,-1.6860937500000002,5.518125,1746.21875
55882,-7.81734375,-1.6860937500000002,5.36484375,1746.25
55883,-7.81734375,-1.6860937500000002,5.36484375,1746.28125
55884,-7.81734375,-1.6860937500000002,5.36484375,1746.3125
55885,-7.81734375,-1.6860937500000002,5.36484375,1746.34375
55886,-7.81734375,-1.6860937500000002,5.36484375,1746.375
55887,-7.970625,-1.5328125000000001,5.36484375,1746.40625
55888,-7.81734375,-1.6860937500000002,5.36484375,1746.4375
55889,-7.6640625,-1.6860937500000002,5.36484375,1746.46875
55890,-7.6640625,-1.6860937500000002,5.36484375,1746.5
55891,-7.970625,-1.5328125000000001,5.2115625,1746.53125
55892,-7.970625,-1.5328125000000001,5.2115625,1746.5625
55893,-7.6640625,-1.6860937500000002,5.518125,1746.59375
55894,-7.81734375,-1.6860937500000002,5.518125,1746.625
55895,-7.81734375,-1.6860937500000002,5.36484375,1746.65625
55896,-7.81734375,-1.6860937500000002,5.518125,1746.6875
55897,-7.6640625,-1.6860937500000002,5.36484375,1746.71875
55898,-7.81734375,-1.6860937500000002,5.36484375,1746.75
55899,-7.81734375,-1.6860937500000002,5.518125,1746.78125
55900,-7.81734375,-1.6860937500000002,5.36484375,1746.8125
55901,-7.81734375,-1.6860937500000002,5.36484375,1746.84375
55902,-7.81734375,-1.5328125000000001,5.36484375,1746.875
55903,-7.81734375,-1.6860937500000002,5.518125,1746.90625
55904,-7.81734375,-1.6860937500000002,5.36484375,1746.9375
55905,-7.81734375,-1.6860937500000002,5.36484375,1746.96875
55906,-7.81734375,-1.6860937500000002,5.36484375,1747.0
55907,-7.81734375,-1.6860937500000002,5.518125,1747.03125
55908,-7.81734375,-1.6860937500000002,5.36484375,1747.0625
55909,-7.81734375,-1.6860937500000002,5.36484375,1747.09375
55910,-7.81734375,-1.6860937500000002,5.36484375,1747.125
55911,-7.6640625,-1.6860937500000002,5.36484375,1747.15625
55912,-7.81734375,-1.6860937500000002,5.36484375,1747.1875
55913,-7.970625,-1.6860937500000002,5.36484375,1747.21875
55914,-7.81734375,-1.5328125000000001,5.518125,1747.25
55915,-7.81734375,-1.6860937500000002,5.36484375,1747.28125
55916,-7.81734375,-1.6860937500000002,5.36484375,1747.3125
55917,-7.81734375,-1.6860937500000002,5.36484375,1747.34375
55918,-7.81734375,-1.6860937500000002,5.36484375,1747.375
55919,-7.81734375,-1.6860937500000002,5.36484375,1747.40625
55920,-7.81734375,-1.6860937500000002,5.36484375,1747.4375
55921,-7.81734375,-1.6860937500000002,5.36484375,1747.46875
55922,-7.81734375,-1.6860937500000002,5.36484375,1747.5
55923,-7.81734375,-1.6860937500000002,5.36484375,1747.53125
55924,-7.81734375,-1.6860937500000002,5.36484375,1747.5625
55925,-7.81734375,-1.6860937500000002,5.36484375,1747.59375
55926,-7.81734375,-1.6860937500000002,5.36484375,1747.625
55927,-7.81734375,-1.6860937500000002,5.36484375,1747.65625
55928,-7.81734375,-1.6860937500000002,5.36484375,1747.6875
55929,-7.81734375,-1.5328125000000001,5.36484375,1747.71875
55930,-7.81734375,-1.6860937500000002,5.518125,1747.75
55931,-7.81734375,-1.6860937500000002,5.36484375,1747.78125
55932,-7.81734375,-1.6860937500000002,5.36484375,1747.8125
55933,-7.81734375,-1.6860937500000002,5.36484375,1747.84375
55934,-7.81734375,-1.6860937500000002,5.36484375,1747.875
55935,-7.81734375,-1.6860937500000002,5.36484375,1747.90625
55936,-7.81734375,-1.6860937500000002,5.36484375,1747.9375
55937,-7.81734375,-1.6860937500000002,5.518125,1747.96875
55938,-7.81734375,-1.6860937500000002,5.36484375,1748.0
55939,-7.81734375,-1.6860937500000002,5.36484375,1748.03125
