,x,y,z,t
57218,-1.839375,-10.1165625,0.45984375,1788.0
57219,-1.6860937500000002,-9.81,0.45984375,1788.03125
57220,-1.839375,-9.5034375,0.45984375,1788.0625
57221,-1.839375,-9.5034375,0.613125,1788.09375
57222,-2.1459375,-9.5034375,0.45984375,1788.125
57223,-2.29921875,-9.656718750000001,0.45984375,1788.15625
57224,-2.4525,-9.656718750000001,0.45984375,1788.1875
57225,-2.29921875,-9.656718750000001,0.613125,1788.21875
57226,-2.1459375,-9.81,0.7664062500000001,1788.25
57227,-1.99265625,-10.1165625,0.9196875,1788.28125
57228,-1.6860937500000002,-9.81,1.07296875,1788.3125
57229,-1.5328125000000001,-9.81,1.07296875,1788.34375
57230,-1.6860937500000002,-9.96328125,1.6860937500000002,1788.375
57231,-1.839375,-9.96328125,2.1459375,1788.40625
57232,-1.5328125000000001,-9.656718750000001,1.07296875,1788.4375
57233,-3.0656250000000003,-9.656718750000001,0.613125,1788.46875
57234,-2.60578125,-9.5034375,1.07296875,1788.5
57235,-2.9123437500000002,-9.5034375,1.22625,1788.53125
57236,-2.60578125,-9.5034375,1.37953125,1788.5625
57237,-3.2189062500000003,-9.656718750000001,1.5328125000000001,1788.59375
57238,-2.4525,-9.656718750000001,1.07296875,1788.625
57239,-2.29921875,-9.81,0.7664062500000001,1788.65625
57240,-2.29921875,-9.5034375,0.9196875,1788.6875
57241,-1.99265625,-9.196875,1.07296875,1788.71875
57242,-2.29921875,-9.350156250000001,1.07296875,1788.75
57243,-2.4525,-9.196875,1.22625,1788.78125
57244,-2.60578125,-9.350156250000001,1.37953125,1788.8125
57245,-2.9123437500000002,-9.656718750000001,1.37953125,1788.84375
57246,-2.7590625,-9.81,1.37953125,1788.875
57247,-2.29921875,-9.96328125,1.37953125,1788.90625
57248,-2.29921875,-9.81,1.5328125000000001,1788.9375
57249,-2.1459375,-9.81,1.22625,1788.96875
57250,-2.29921875,-9.81,0.9196875,1789.0
57251,-2.60578125,-9.5034375,1.22625,1789.03125
57252,-2.60578125,-9.5034375,1.22625,1789.0625
57253,-2.7590625,-9.5034375,1.37953125,1789.09375
57254,-2.4525,-9.656718750000001,1.37953125,1789.125
57255,-2.29921875,-9.81,1.37953125,1789.15625
57256,-2.29921875,-9.81,1.22625,1789.1875
57257,-2.29921875,-9.96328125,1.07296875,1789.21875
57258,-2.1459375,-9.5034375,1.22625,1789.25
57259,-1.99265625,-9.5034375,1.22625,1789.28125
57260,-2.1459375,-9.5034375,1.22625,1789.3125
57261,-1.99265625,-9.656718750000001,1.22625,1789.34375
57262,-1.99265625,-9.81,1.07296875,1789.375
57263,-2.1459375,-9.96328125,1.07296875,1789.40625
57264,-2.29921875,-9.96328125,1.22625,1789.4375
57265,-2.60578125,-9.656718750000001,1.37953125,1789.46875
57266,-2.60578125,-9.5034375,1.37953125,1789.5
57267,-2.29921875,-9.656718750000001,1.37953125,1789.53125
57268,-2.1459375,-9.656718750000001,1.07296875,1789.5625
57269,-2.1459375,-9.81,0.9196875,1789.59375
57270,-1.99265625,-9.81,0.7664062500000001,1789.625
57271,-2.1459375,-9.656718750000001,0.7664062500000001,1789.65625
57272,-2.29921875,-9.5034375,0.7664062500000001,1789.6875
57273,-2.29921875,-9.656718750000001,0.9196875,1789.71875
57274,-2.29921875,-9.656718750000001,1.07296875,1789.75
57275,-2.29921875,-9.81,0.9196875,1789.78125
57276,-2.1459375,-9.96328125,0.7664062500000001,1789.8125
57277,-2.1459375,-9.96328125,0.7664062500000001,1789.84375
57278,-1.99265625,-9.81,0.7664062500000001,1789.875
57279,-1.99265625,-9.656718750000001,0.7664062500000001,1789.90625
57280,-2.1459375,-9.656718750000001,0.9196875,1789.9375
57281,-2.1459375,-9.656718750000001,0.9196875,1789.96875
57282,-2.29921875,-9.81,0.9196875,1790.0
57283,-2.29921875,-9.81,0.9196875,1790.03125
