,x,y,z,t
111394,-2.4525,-9.5034375,1.99265625,3481.0
111395,-2.4525,-9.5034375,1.99265625,3481.03125
111396,-2.60578125,-9.5034375,1.99265625,3481.0625
111397,-2.60578125,-9.350156250000001,1.99265625,3481.09375
111398,-2.60578125,-9.350156250000001,1.99265625,3481.125
111399,-2.4525,-9.5034375,1.99265625,3481.15625
111400,-2.4525,-9.5034375,1.99265625,3481.1875
111401,-2.4525,-9.5034375,1.99265625,3481.21875
111402,-2.60578125,-9.5034375,1.99265625,3481.25
111403,-2.60578125,-9.350156250000001,1.99265625,3481.28125
111404,-2.60578125,-9.5034375,1.99265625,3481.3125
111405,-2.4525,-9.5034375,1.99265625,3481.34375
111406,-2.4525,-9.5034375,1.99265625,3481.375
111407,-2.60578125,-9.350156250000001,1.99265625,3481.40625
111408,-2.60578125,-9.5034375,1.99265625,3481.4375
111409,-2.60578125,-9.5034375,1.99265625,3481.46875
111410,-2.4525,-9.5034375,1.99265625,3481.5
111411,-2.4525,-9.350156250000001,1.99265625,3481.53125
111412,-2.60578125,-9.5034375,1.99265625,3481.5625
111413,-2.60578125,-9.5034375,1.839375,3481.59375
111414,-2.60578125,-9.5034375,1.99265625,3481.625
111415,-2.60578125,-9.5034375,1.99265625,3481.65625
111416,-2.4525,-9.5034375,1.99265625,3481.6875
111417,-2.4525,-9.5034375,1.99265625,3481.71875
111418,-2.4525,-9.5034375,1.99265625,3481.75
111419,-2.60578125,-9.5034375,1.839375,3481.78125
111420,-2.60578125,-9.5034375,1.99265625,3481.8125
111421,-2.60578125,-9.5034375,1.99265625,3481.84375
111422,-2.60578125,-9.350156250000001,1.99265625,3481.875
111423,-2.60578125,-9.350156250000001,1.99265625,3481.90625
111424,-2.60578125,-9.350156250000001,1.839375,3481.9375
111425,-2.60578125,-9.5034375,1.839375,3481.96875
111426,-2.60578125,-9.5034375,1.99265625,3482.0
111427,-2.60578125,-9.5034375,1.99265625,3482.03125
111428,-2.60578125,-9.5034375,1.99265625,3482.0625
111429,-2.60578125,-9.5034375,1.99265625,3482.09375
111430,-2.60578125,-9.5034375,1.99265625,3482.125
111431,-2.60578125,-9.350156250000001,1.99265625,3482.15625
111432,-2.60578125,-9.5034375,1.99265625,3482.1875
111433,-2.60578125,-9.5034375,1.99265625,3482.21875
111434,-2.60578125,-9.5034375,1.839375,3482.25
111435,-2.4525,-9.5034375,1.839375,3482.28125
111436,-2.60578125,-9.350156250000001,1.99265625,3482.3125
111437,-2.4525,-9.350156250000001,1.99265625,3482.34375
111438,-2.60578125,-9.5034375,1.99265625,3482.375
111439,-2.60578125,-9.5034375,1.839375,3482.40625
111440,-2.60578125,-9.5034375,1.99265625,3482.4375
111441,-2.60578125,-9.350156250000001,1.99265625,3482.46875
111442,-2.60578125,-9.350156250000001,1.99265625,3482.5
111443,-2.60578125,-9.350156250000001,1.99265625,3482.53125
111444,-2.60578125,-9.5034375,1.839375,3482.5625
111445,-2.60578125,-9.5034375,1.99265625,3482.59375
111446,-2.4525,-9.5034375,1.99265625,3482.625
111447,-2.4525,-9.5034375,1.99265625,3482.65625
111448,-2.60578125,-9.5034375,1.839375,3482.6875
111449,-2.7590625,-9.5034375,1.839375,3482.71875
111450,-2.60578125,-9.5034375,1.99265625,3482.75
111451,-2.60578125,-9.5034375,1.99265625,3482.78125
111452,-2.4525,-9.5034375,1.99265625,3482.8125
111453,-2.4525,-9.5034375,1.99265625,3482.84375
111454,-2.60578125,-9.5034375,1.839375,3482.875
111455,-2.60578125,-9.5034375,1.839375,3482.90625
111456,-2.60578125,-9.5034375,1.99265625,3482.9375
111457,-2.4525,-9.5034375,1.99265625,3482.96875
111458,-2.4525,-9.5034375,1.99265625,3483.0
111459,-2.60578125,-9.5034375,1.99265625,3483.03125
111460,-2.60578125,-9.5034375,1.99265625,3483.0625
111461,-2.60578125,-9.350156250000001,1.99265625,3483.09375
111462,-2.4525,-9.5034375,1.99265625,3483.125
111463,-2.4525,-9.5034375,1.99265625,3483.15625
111464,-2.60578125,-9.350156250000001,1.99265625,3483.1875
111465,-2.60578125,-9.5034375,1.99265625,3483.21875
111466,-2.60578125,-9.5034375,1.99265625,3483.25
111467,-2.4525,-9.350156250000001,1.99265625,3483.28125
111468,-2.4525,-9.5034375,1.99265625,3483.3125
111469,-2.60578125,-9.5034375,1.99265625,3483.34375
111470,-2.60578125,-9.5034375,1.839375,3483.375
111471,-2.4525,-9.5034375,1.839375,3483.40625
111472,-2.4525,-9.350156250000001,1.99265625,3483.4375
111473,-2.4525,-9.5034375,1.99265625,3483.46875
111474,-2.60578125,-9.5034375,1.99265625,3483.5
111475,-2.60578125,-9.5034375,1.99265625,3483.53125
111476,-2.60578125,-9.5034375,1.99265625,3483.5625
111477,-2.4525,-9.350156250000001,1.99265625,3483.59375
111478,-2.4525,-9.5034375,1.99265625,3483.625
