,x,y,z,t
206882,-2.9123437500000002,-10.57640625,0.9196875,6465.0
206883,-2.60578125,-9.5034375,1.07296875,6465.03125
206884,-1.6860937500000002,-9.196875,1.5328125000000001,6465.0625
206885,-0.613125,-9.196875,1.839375,6465.09375
206886,-1.07296875,-9.196875,1.5328125000000001,6465.125
206887,-1.839375,-9.96328125,0.9196875,6465.15625
206888,-1.839375,-10.26984375,0.7664062500000001,6465.1875
206889,-1.839375,-10.1165625,0.9196875,6465.21875
206890,-1.99265625,-9.350156250000001,1.22625,6465.25
206891,-2.1459375,-9.043593750000001,1.37953125,6465.28125
206892,-3.0656250000000003,-9.043593750000001,1.37953125,6465.3125
206893,-3.9853125,-9.043593750000001,1.37953125,6465.34375
206894,-3.9853125,-9.196875,1.37953125,6465.375
206895,-3.5254687500000004,-9.96328125,1.5328125000000001,6465.40625
206896,-3.5254687500000004,-9.96328125,1.22625,6465.4375
206897,-3.2189062500000003,-9.81,1.07296875,6465.46875
206898,-2.60578125,-9.5034375,0.9196875,6465.5
206899,-2.29921875,-9.5034375,1.07296875,6465.53125
206900,-1.6860937500000002,-9.5034375,1.22625,6465.5625
206901,-1.5328125000000001,-9.656718750000001,1.07296875,6465.59375
206902,-1.37953125,-9.656718750000001,1.22625,6465.625
206903,-1.839375,-9.656718750000001,1.22625,6465.65625
206904,-1.99265625,-9.656718750000001,1.22625,6465.6875
206905,-2.4525,-9.656718750000001,1.37953125,6465.71875
206906,-2.7590625,-9.656718750000001,1.22625,6465.75
206907,-3.2189062500000003,-9.5034375,1.07296875,6465.78125
206908,-2.9123437500000002,-9.5034375,1.37953125,6465.8125
206909,-2.60578125,-9.656718750000001,1.37953125,6465.84375
206910,-2.4525,-9.96328125,1.22625,6465.875
206911,-2.29921875,-9.81,1.07296875,6465.90625
206912,-2.29921875,-9.81,0.9196875,6465.9375
206913,-1.99265625,-9.656718750000001,0.7664062500000001,6465.96875
206914,-1.99265625,-9.656718750000001,0.9196875,6466.0
206915,-1.6860937500000002,-9.81,1.07296875,6466.03125
206916,-1.839375,-9.81,1.07296875,6466.0625
206917,-1.839375,-9.81,1.07296875,6466.09375
206918,-1.99265625,-9.81,0.9196875,6466.125
206919,-1.99265625,-9.81,0.9196875,6466.15625
206920,-1.99265625,-9.81,0.9196875,6466.1875
206921,-1.99265625,-9.81,1.07296875,6466.21875
206922,-1.99265625,-9.656718750000001,1.07296875,6466.25
206923,-2.1459375,-9.656718750000001,1.22625,6466.28125
206924,-2.1459375,-9.656718750000001,1.22625,6466.3125
206925,-2.1459375,-9.81,1.07296875,6466.34375
206926,-2.1459375,-9.81,1.07296875,6466.375
206927,-2.29921875,-9.81,1.07296875,6466.40625
206928,-2.4525,-9.656718750000001,1.07296875,6466.4375
206929,-2.4525,-9.656718750000001,0.9196875,6466.46875
206930,-2.29921875,-9.81,1.07296875,6466.5
206931,-2.29921875,-9.81,1.22625,6466.53125
206932,-2.29921875,-9.81,1.22625,6466.5625
206933,-2.29921875,-9.656718750000001,1.22625,6466.59375
206934,-2.1459375,-9.656718750000001,1.22625,6466.625
