,x,y,z,t
220098,4.905,3.0656250000000003,7.204218750000001,6878.0
220099,5.36484375,2.9123437500000002,7.3575,6878.03125
220100,5.2115625,2.7590625,7.6640625,6878.0625
220101,4.44515625,2.9123437500000002,7.51078125,6878.09375
220102,4.905,3.0656250000000003,7.51078125,6878.125
220103,5.2115625,3.0656250000000003,7.3575,6878.15625
220104,4.905,2.7590625,7.3575,6878.1875
220105,4.905,2.7590625,7.51078125,6878.21875
220106,5.05828125,2.9123437500000002,7.51078125,6878.25
220107,4.905,3.0656250000000003,7.3575,6878.28125
220108,5.2115625,3.0656250000000003,7.204218750000001,6878.3125
220109,5.05828125,2.9123437500000002,7.3575,6878.34375
220110,5.36484375,2.7590625,7.51078125,6878.375
220111,5.36484375,2.7590625,7.51078125,6878.40625
220112,5.518125,2.4525,7.6640625,6878.4375
220113,5.2115625,2.29921875,7.6640625,6878.46875
220114,4.75171875,2.4525,7.81734375,6878.5
220115,4.905,2.4525,7.81734375,6878.53125
220116,5.05828125,2.4525,7.6640625,6878.5625
220117,5.36484375,2.60578125,7.3575,6878.59375
220118,5.67140625,2.60578125,7.3575,6878.625
220119,5.2115625,2.60578125,7.6640625,6878.65625
220120,5.05828125,2.4525,7.6640625,6878.6875
220121,5.518125,2.29921875,7.6640625,6878.71875
220122,5.9779687500000005,2.60578125,7.204218750000001,6878.75
220123,5.67140625,2.7590625,7.204218750000001,6878.78125
220124,4.905,2.60578125,7.6640625,6878.8125
220125,4.75171875,2.29921875,7.970625,6878.84375
220126,4.905,2.1459375,7.81734375,6878.875
220127,5.518125,2.1459375,7.51078125,6878.90625
220128,5.67140625,2.29921875,7.3575,6878.9375
220129,5.36484375,2.4525,7.3575,6878.96875
220130,5.05828125,2.29921875,7.6640625,6879.0
220131,5.36484375,2.29921875,7.51078125,6879.03125
220132,5.67140625,2.4525,7.3575,6879.0625
220133,5.67140625,2.4525,7.204218750000001,6879.09375
220134,5.2115625,2.60578125,7.51078125,6879.125
220135,5.05828125,2.4525,7.6640625,6879.15625
220136,5.05828125,2.4525,7.51078125,6879.1875
220137,5.2115625,2.4525,7.51078125,6879.21875
220138,5.2115625,2.4525,7.51078125,6879.25
220139,5.2115625,2.4525,7.6640625,6879.28125
220140,5.05828125,2.4525,7.6640625,6879.3125
220141,5.2115625,2.4525,7.51078125,6879.34375
220142,5.2115625,2.4525,7.51078125,6879.375
220143,5.2115625,2.4525,7.51078125,6879.40625
220144,5.2115625,2.4525,7.51078125,6879.4375
220145,5.05828125,2.60578125,7.6640625,6879.46875
220146,5.05828125,2.60578125,7.51078125,6879.5
220147,5.2115625,2.4525,7.51078125,6879.53125
220148,5.2115625,2.4525,7.6640625,6879.5625
220149,5.2115625,2.60578125,7.51078125,6879.59375
220150,5.05828125,2.60578125,7.51078125,6879.625
220151,5.05828125,2.60578125,7.6640625,6879.65625
220152,5.05828125,2.60578125,7.51078125,6879.6875
220153,5.2115625,2.4525,7.51078125,6879.71875
220154,5.2115625,2.60578125,7.51078125,6879.75
220155,5.05828125,2.60578125,7.51078125,6879.78125
220156,5.05828125,2.60578125,7.6640625,6879.8125
220157,5.05828125,2.4525,7.51078125,6879.84375
220158,5.05828125,2.60578125,7.6640625,6879.875
220159,5.2115625,2.60578125,7.6640625,6879.90625
220160,5.2115625,2.60578125,7.51078125,6879.9375
220161,5.2115625,2.60578125,7.3575,6879.96875
220162,5.2115625,2.60578125,7.51078125,6880.0
220163,5.05828125,2.60578125,7.6640625,6880.03125
220164,4.905,2.60578125,7.6640625,6880.0625
220165,5.2115625,2.60578125,7.6640625,6880.09375
220166,5.05828125,2.60578125,7.51078125,6880.125
220167,5.05828125,2.60578125,7.51078125,6880.15625
220168,5.05828125,2.60578125,7.6640625,6880.1875
220169,5.05828125,2.60578125,7.6640625,6880.21875
220170,5.05828125,2.4525,7.6640625,6880.25
220171,5.2115625,2.60578125,7.51078125,6880.28125
220172,5.36484375,2.60578125,7.51078125,6880.3125
220173,5.05828125,2.60578125,7.51078125,6880.34375
220174,5.05828125,2.60578125,7.51078125,6880.375
220175,5.05828125,2.60578125,7.51078125,6880.40625
220176,5.05828125,2.60578125,7.51078125,6880.4375
220177,5.2115625,2.60578125,7.51078125,6880.46875
220178,5.05828125,2.7590625,7.51078125,6880.5
220179,5.05828125,2.60578125,7.51078125,6880.53125
220180,5.2115625,2.60578125,7.6640625,6880.5625
220181,5.05828125,2.60578125,7.6640625,6880.59375
220182,5.05828125,2.60578125,7.6640625,6880.625
220183,5.05828125,2.60578125,7.6640625,6880.65625
220184,5.05828125,2.7590625,7.51078125,6880.6875
220185,5.05828125,2.60578125,7.6640625,6880.71875
220186,5.05828125,2.60578125,7.51078125,6880.75
220187,5.05828125,2.60578125,7.51078125,6880.78125
220188,5.05828125,2.60578125,7.6640625,6880.8125
220189,5.05828125,2.60578125,7.6640625,6880.84375
220190,5.05828125,2.60578125,7.51078125,6880.875
220191,5.2115625,2.60578125,7.51078125,6880.90625
220192,5.36484375,2.60578125,7.51078125,6880.9375
220193,5.05828125,2.60578125,7.51078125,6880.96875
220194,5.05828125,2.7590625,7.51078125,6881.0
220195,5.2115625,2.7590625,7.51078125,6881.03125
220196,5.05828125,2.7590625,7.51078125,6881.0625
220197,5.05828125,2.60578125,7.51078125,6881.09375
220198,5.05828125,2.60578125,7.51078125,6881.125
220199,5.05828125,2.4525,7.51078125,6881.15625
220200,5.05828125,2.4525,7.6640625,6881.1875
220201,5.2115625,2.4525,7.6640625,6881.21875
220202,5.36484375,2.60578125,7.51078125,6881.25
220203,5.05828125,2.4525,7.6640625,6881.28125
220204,5.05828125,2.60578125,7.6640625,6881.3125
220205,5.05828125,2.60578125,7.51078125,6881.34375
220206,5.2115625,2.60578125,7.51078125,6881.375
220207,5.05828125,2.7590625,7.51078125,6881.40625
220208,5.2115625,2.60578125,7.51078125,6881.4375
220209,5.05828125,2.60578125,7.51078125,6881.46875
220210,5.05828125,2.4525,7.51078125,6881.5
220211,5.05828125,2.60578125,7.51078125,6881.53125
220212,5.2115625,2.60578125,7.51078125,6881.5625
220213,5.2115625,2.60578125,7.51078125,6881.59375
220214,5.2115625,2.60578125,7.51078125,6881.625
220215,4.905,2.7590625,7.51078125,6881.65625
220216,4.905,2.7590625,7.51078125,6881.6875
220217,5.05828125,2.60578125,7.6640625,6881.71875
220218,5.05828125,2.60578125,7.51078125,6881.75
220219,5.05828125,2.60578125,7.51078125,6881.78125
220220,5.05828125,2.60578125,7.6640625,6881.8125
220221,5.05828125,2.60578125,7.6640625,6881.84375
220222,5.05828125,2.60578125,7.6640625,6881.875
220223,5.05828125,2.60578125,7.6640625,6881.90625
220224,5.05828125,2.60578125,7.51078125,6881.9375
220225,5.05828125,2.7590625,7.51078125,6881.96875
220226,5.05828125,2.60578125,7.51078125,6882.0
220227,5.05828125,2.60578125,7.6640625,6882.03125
220228,5.05828125,2.60578125,7.51078125,6882.0625
220229,5.05828125,2.60578125,7.51078125,6882.09375
220230,5.05828125,2.60578125,7.6640625,6882.125
220231,5.05828125,2.60578125,7.6640625,6882.15625
220232,5.05828125,2.60578125,7.6640625,6882.1875
220233,5.05828125,2.60578125,7.51078125,6882.21875
220234,5.05828125,2.7590625,7.51078125,6882.25
220235,5.05828125,2.7590625,7.51078125,6882.28125
220236,5.05828125,2.7590625,7.51078125,6882.3125
220237,4.905,2.60578125,7.6640625,6882.34375
220238,4.905,2.60578125,7.6640625,6882.375
220239,5.05828125,2.60578125,7.6640625,6882.40625
220240,5.2115625,2.60578125,7.51078125,6882.4375
220241,5.2115625,2.60578125,7.51078125,6882.46875
