,x,y,z,t
216706,-8.430468750000001,-0.15328125,3.9853125,6772.0
216707,-8.2771875,-0.3065625,3.83203125,6772.03125
216708,-7.970625,-0.7664062500000001,3.83203125,6772.0625
216709,-7.51078125,-0.7664062500000001,4.291875,6772.09375
216710,-7.204218750000001,-0.9196875,5.2115625,6772.125
216711,-6.591093750000001,-1.22625,5.518125,6772.15625
216712,-6.744375000000001,-1.839375,5.67140625,6772.1875
216713,-8.123906250000001,-3.9853125,5.518125,6772.21875
216714,-8.123906250000001,-4.13859375,4.905,6772.25
216715,-7.3575,-4.905,3.3721875000000003,6772.28125
216716,-7.204218750000001,-5.2115625,3.2189062500000003,6772.3125
216717,-6.744375000000001,-6.1312500000000005,3.0656250000000003,6772.34375
216718,-8.2771875,-7.050937500000001,2.7590625,6772.375
216719,-8.737031250000001,-6.1312500000000005,2.1459375,6772.40625
216720,-6.897656250000001,-5.36484375,1.839375,6772.4375
216721,-6.437812500000001,-5.518125,1.5328125000000001,6772.46875
216722,-5.518125,-5.9779687500000005,2.29921875,6772.5
216723,-5.8246875000000005,-6.437812500000001,2.29921875,6772.53125
216724,-5.67140625,-8.2771875,1.6860937500000002,6772.5625
216725,-5.518125,-8.737031250000001,1.37953125,6772.59375
216726,-4.905,-8.8903125,1.22625,6772.625
216727,-4.5984375,-10.57640625,1.6860937500000002,6772.65625
216728,-4.291875,-11.49609375,1.99265625,6772.6875
216729,-2.9123437500000002,-11.49609375,1.5328125000000001,6772.71875
216730,-2.4525,-10.88296875,1.37953125,6772.75
216731,-3.2189062500000003,-12.41578125,1.839375,6772.78125
216732,-3.83203125,-11.649375000000001,2.29921875,6772.8125
216733,-5.2115625,-12.262500000000001,2.29921875,6772.84375
216734,-5.36484375,-11.49609375,1.5328125000000001,6772.875
216735,-4.13859375,-10.88296875,1.22625,6772.90625
216736,-2.29921875,-10.26984375,1.37953125,6772.9375
216737,-1.99265625,-10.423125,1.5328125000000001,6772.96875
216738,-2.29921875,-9.96328125,1.839375,6773.0
216739,-2.29921875,-9.350156250000001,1.99265625,6773.03125
216740,-2.9123437500000002,-7.51078125,2.1459375,6773.0625
216741,-3.2189062500000003,-7.050937500000001,1.839375,6773.09375
216742,-3.0656250000000003,-7.3575,1.5328125000000001,6773.125
216743,-2.9123437500000002,-7.6640625,1.07296875,6773.15625
216744,-2.7590625,-7.81734375,1.07296875,6773.1875
216745,-2.1459375,-7.6640625,0.9196875,6773.21875
216746,-1.839375,-7.3575,0.9196875,6773.25
216747,-1.839375,-6.591093750000001,1.37953125,6773.28125
216748,-2.1459375,-6.897656250000001,1.37953125,6773.3125
216749,-2.7590625,-8.737031250000001,1.37953125,6773.34375
216750,-3.0656250000000003,-9.5034375,1.07296875,6773.375
216751,-3.2189062500000003,-8.430468750000001,1.22625,6773.40625
216752,-3.3721875000000003,-10.26984375,1.5328125000000001,6773.4375
216753,-3.5254687500000004,-11.3428125,1.37953125,6773.46875
216754,-3.83203125,-13.02890625,1.5328125000000001,6773.5
216755,-3.67875,-11.955937500000001,1.839375,6773.53125
216756,-3.2189062500000003,-9.043593750000001,3.0656250000000003,6773.5625
216757,-3.5254687500000004,-7.81734375,3.0656250000000003,6773.59375
216758,-3.67875,-7.81734375,2.60578125,6773.625
216759,-3.67875,-8.58375,1.6860937500000002,6773.65625
216760,-3.0656250000000003,-7.81734375,1.99265625,6773.6875
216761,-2.7590625,-7.204218750000001,2.1459375,6773.71875
216762,-2.60578125,-7.050937500000001,2.4525,6773.75
216763,-3.9853125,-7.050937500000001,2.1459375,6773.78125
216764,-5.518125,-7.81734375,1.37953125,6773.8125
216765,-5.67140625,-7.51078125,1.37953125,6773.84375
216766,-5.518125,-6.897656250000001,1.6860937500000002,6773.875
