,x,y,z,t
62882,8.2771875,-2.60578125,4.291875,1965.0
62883,8.123906250000001,-2.60578125,4.44515625,1965.03125
62884,8.2771875,-2.60578125,4.291875,1965.0625
62885,8.2771875,-2.7590625,4.44515625,1965.09375
62886,8.2771875,-2.60578125,4.44515625,1965.125
62887,8.2771875,-2.7590625,4.291875,1965.15625
62888,8.2771875,-2.7590625,4.44515625,1965.1875
62889,8.123906250000001,-2.60578125,4.291875,1965.21875
62890,8.2771875,-2.7590625,4.291875,1965.25
62891,8.2771875,-2.7590625,4.44515625,1965.28125
62892,8.2771875,-2.7590625,4.44515625,1965.3125
62893,8.2771875,-2.60578125,4.291875,1965.34375
62894,8.2771875,-2.7590625,4.291875,1965.375
62895,8.2771875,-2.9123437500000002,4.44515625,1965.40625
62896,8.123906250000001,-2.7590625,4.291875,1965.4375
62897,8.2771875,-2.7590625,4.291875,1965.46875
62898,8.2771875,-2.60578125,4.291875,1965.5
62899,8.2771875,-2.7590625,4.291875,1965.53125
62900,8.2771875,-2.9123437500000002,4.44515625,1965.5625
62901,8.123906250000001,-2.7590625,4.291875,1965.59375
62902,8.123906250000001,-2.7590625,4.291875,1965.625
62903,8.430468750000001,-2.9123437500000002,4.44515625,1965.65625
62904,8.2771875,-2.7590625,4.44515625,1965.6875
62905,8.2771875,-2.60578125,4.44515625,1965.71875
62906,8.123906250000001,-2.7590625,4.44515625,1965.75
62907,8.123906250000001,-2.7590625,4.5984375,1965.78125
62908,7.970625,-2.7590625,4.44515625,1965.8125
62909,8.123906250000001,-2.7590625,4.44515625,1965.84375
62910,8.2771875,-2.60578125,4.5984375,1965.875
62911,8.123906250000001,-2.7590625,4.44515625,1965.90625
62912,8.123906250000001,-2.7590625,4.5984375,1965.9375
62913,7.970625,-2.60578125,4.5984375,1965.96875
62914,7.970625,-2.7590625,4.5984375,1966.0
62915,8.123906250000001,-2.60578125,4.5984375,1966.03125
62916,8.123906250000001,-2.7590625,4.5984375,1966.0625
62917,8.123906250000001,-2.7590625,4.75171875,1966.09375
