,x,y,z,t
349314,-2.60578125,-9.350156250000001,1.22625,10916.0
349315,-2.4525,-9.350156250000001,1.07296875,10916.03125
349316,-2.60578125,-9.5034375,1.07296875,10916.0625
349317,-3.2189062500000003,-9.350156250000001,1.07296875,10916.09375
349318,-3.67875,-9.350156250000001,1.07296875,10916.125
349319,-3.83203125,-9.196875,1.07296875,10916.15625
349320,-3.83203125,-9.043593750000001,1.07296875,10916.1875
349321,-3.83203125,-9.043593750000001,1.07296875,10916.21875
349322,-3.83203125,-9.043593750000001,1.07296875,10916.25
349323,-3.9853125,-9.043593750000001,1.22625,10916.28125
349324,-4.13859375,-9.196875,1.22625,10916.3125
349325,-4.13859375,-9.043593750000001,1.22625,10916.34375
349326,-4.13859375,-9.043593750000001,1.37953125,10916.375
349327,-4.13859375,-9.043593750000001,1.22625,10916.40625
349328,-4.13859375,-9.043593750000001,1.22625,10916.4375
349329,-4.13859375,-9.043593750000001,1.22625,10916.46875
349330,-4.13859375,-9.043593750000001,1.22625,10916.5
349331,-4.13859375,-9.043593750000001,1.22625,10916.53125
349332,-4.291875,-9.043593750000001,1.37953125,10916.5625
349333,-4.44515625,-8.8903125,1.37953125,10916.59375
349334,-4.291875,-8.8903125,1.22625,10916.625
349335,-4.13859375,-8.8903125,1.22625,10916.65625
349336,-4.13859375,-8.8903125,1.22625,10916.6875
349337,-3.9853125,-9.043593750000001,1.07296875,10916.71875
349338,-3.9853125,-9.043593750000001,1.22625,10916.75
349339,-3.9853125,-9.043593750000001,1.37953125,10916.78125
349340,-3.9853125,-9.043593750000001,1.22625,10916.8125
349341,-3.83203125,-9.043593750000001,1.22625,10916.84375
349342,-3.9853125,-9.043593750000001,1.07296875,10916.875
349343,-3.9853125,-9.043593750000001,1.07296875,10916.90625
349344,-3.9853125,-9.043593750000001,1.07296875,10916.9375
349345,-3.83203125,-9.196875,1.07296875,10916.96875
349346,-3.83203125,-9.196875,1.07296875,10917.0
349347,-3.67875,-9.196875,1.07296875,10917.03125
349348,-3.67875,-9.196875,0.9196875,10917.0625
349349,-3.67875,-9.196875,0.9196875,10917.09375
349350,-3.83203125,-9.350156250000001,0.9196875,10917.125
349351,-3.67875,-9.350156250000001,0.7664062500000001,10917.15625
349352,-3.5254687500000004,-9.350156250000001,0.7664062500000001,10917.1875
349353,-3.67875,-9.350156250000001,0.7664062500000001,10917.21875
349354,-3.67875,-9.196875,0.7664062500000001,10917.25
349355,-3.3721875000000003,-9.350156250000001,0.9196875,10917.28125
349356,-3.3721875000000003,-9.350156250000001,0.7664062500000001,10917.3125
349357,-3.3721875000000003,-9.656718750000001,1.22625,10917.34375
349358,-2.7590625,-9.656718750000001,1.07296875,10917.375
349359,-2.7590625,-9.656718750000001,0.9196875,10917.40625
349360,-2.7590625,-9.5034375,0.7664062500000001,10917.4375
349361,-2.9123437500000002,-9.350156250000001,0.9196875,10917.46875
349362,-2.7590625,-9.350156250000001,0.9196875,10917.5
349363,-2.7590625,-9.5034375,0.9196875,10917.53125
349364,-2.7590625,-9.656718750000001,0.9196875,10917.5625
349365,-2.9123437500000002,-9.656718750000001,0.7664062500000001,10917.59375
349366,-2.9123437500000002,-9.5034375,0.7664062500000001,10917.625
349367,-3.0656250000000003,-9.5034375,0.9196875,10917.65625
349368,-3.2189062500000003,-9.5034375,0.9196875,10917.6875
349369,-3.2189062500000003,-9.5034375,0.7664062500000001,10917.71875
349370,-3.2189062500000003,-9.5034375,0.7664062500000001,10917.75
349371,-3.2189062500000003,-9.5034375,0.7664062500000001,10917.78125
349372,-3.2189062500000003,-9.5034375,0.7664062500000001,10917.8125
349373,-3.2189062500000003,-9.5034375,0.7664062500000001,10917.84375
349374,-3.2189062500000003,-9.5034375,0.9196875,10917.875
349375,-3.0656250000000003,-9.350156250000001,0.9196875,10917.90625
349376,-3.0656250000000003,-9.350156250000001,0.9196875,10917.9375
349377,-3.3721875000000003,-9.350156250000001,0.9196875,10917.96875
349378,-3.5254687500000004,-9.5034375,0.7664062500000001,10918.0
349379,-3.5254687500000004,-9.350156250000001,0.7664062500000001,10918.03125
349380,-3.5254687500000004,-9.5034375,0.7664062500000001,10918.0625
349381,-3.5254687500000004,-9.350156250000001,0.7664062500000001,10918.09375
349382,-3.3721875000000003,-9.350156250000001,0.7664062500000001,10918.125
349383,-3.3721875000000003,-9.350156250000001,0.7664062500000001,10918.15625
349384,-3.3721875000000003,-9.5034375,0.7664062500000001,10918.1875
349385,-3.5254687500000004,-9.350156250000001,0.9196875,10918.21875
349386,-3.5254687500000004,-9.350156250000001,0.9196875,10918.25
349387,-3.67875,-9.350156250000001,0.9196875,10918.28125
349388,-3.5254687500000004,-9.350156250000001,0.9196875,10918.3125
349389,-3.5254687500000004,-9.350156250000001,0.9196875,10918.34375
349390,-3.3721875000000003,-9.350156250000001,0.9196875,10918.375
349391,-3.3721875000000003,-9.350156250000001,0.9196875,10918.40625
349392,-3.2189062500000003,-9.350156250000001,1.07296875,10918.4375
349393,-3.2189062500000003,-9.350156250000001,0.9196875,10918.46875
349394,-3.2189062500000003,-9.350156250000001,0.9196875,10918.5
349395,-3.2189062500000003,-9.350156250000001,0.9196875,10918.53125
349396,-3.2189062500000003,-9.350156250000001,1.07296875,10918.5625
349397,-3.0656250000000003,-9.350156250000001,0.9196875,10918.59375
349398,-3.0656250000000003,-9.5034375,1.07296875,10918.625
349399,-3.0656250000000003,-9.5034375,0.9196875,10918.65625
349400,-3.0656250000000003,-9.5034375,1.07296875,10918.6875
349401,-3.2189062500000003,-9.5034375,0.9196875,10918.71875
349402,-3.2189062500000003,-9.350156250000001,1.07296875,10918.75
349403,-3.2189062500000003,-9.5034375,0.9196875,10918.78125
349404,-3.2189062500000003,-9.5034375,1.07296875,10918.8125
349405,-3.2189062500000003,-9.350156250000001,0.9196875,10918.84375
349406,-3.0656250000000003,-9.350156250000001,0.9196875,10918.875
349407,-3.2189062500000003,-9.5034375,0.9196875,10918.90625
349408,-3.2189062500000003,-9.5034375,0.9196875,10918.9375
349409,-3.2189062500000003,-9.350156250000001,0.9196875,10918.96875
349410,-3.2189062500000003,-9.5034375,0.9196875,10919.0
349411,-3.2189062500000003,-9.5034375,0.9196875,10919.03125
349412,-3.2189062500000003,-9.5034375,0.9196875,10919.0625
349413,-3.2189062500000003,-9.350156250000001,0.9196875,10919.09375
349414,-3.2189062500000003,-9.350156250000001,0.9196875,10919.125
349415,-3.2189062500000003,-9.5034375,0.9196875,10919.15625
349416,-3.2189062500000003,-9.5034375,0.9196875,10919.1875
349417,-3.3721875000000003,-9.5034375,0.9196875,10919.21875
349418,-3.2189062500000003,-9.5034375,0.9196875,10919.25
349419,-3.2189062500000003,-9.5034375,0.9196875,10919.28125
349420,-3.2189062500000003,-9.350156250000001,0.9196875,10919.3125
349421,-3.2189062500000003,-9.350156250000001,0.9196875,10919.34375
349422,-3.2189062500000003,-9.350156250000001,0.9196875,10919.375
349423,-3.2189062500000003,-9.5034375,0.9196875,10919.40625
349424,-3.3721875000000003,-9.5034375,0.9196875,10919.4375
349425,-3.3721875000000003,-9.350156250000001,0.9196875,10919.46875
349426,-3.3721875000000003,-9.350156250000001,0.9196875,10919.5
349427,-3.3721875000000003,-9.350156250000001,0.9196875,10919.53125
349428,-3.5254687500000004,-9.196875,0.9196875,10919.5625
349429,-3.5254687500000004,-9.196875,0.9196875,10919.59375
349430,-3.5254687500000004,-9.350156250000001,1.07296875,10919.625
349431,-3.5254687500000004,-9.350156250000001,1.07296875,10919.65625
349432,-3.5254687500000004,-9.350156250000001,1.07296875,10919.6875
349433,-3.5254687500000004,-9.350156250000001,0.9196875,10919.71875
349434,-3.5254687500000004,-9.350156250000001,0.9196875,10919.75
349435,-3.5254687500000004,-9.350156250000001,0.9196875,10919.78125
349436,-3.5254687500000004,-9.350156250000001,0.9196875,10919.8125
349437,-3.3721875000000003,-9.350156250000001,0.9196875,10919.84375
349438,-3.2189062500000003,-9.5034375,0.9196875,10919.875
349439,-3.67875,-9.350156250000001,0.9196875,10919.90625
349440,-3.0656250000000003,-9.5034375,0.9196875,10919.9375
349441,-3.3721875000000003,-9.350156250000001,0.9196875,10919.96875
349442,-3.2189062500000003,-9.350156250000001,0.9196875,10920.0
349443,-3.2189062500000003,-9.350156250000001,0.9196875,10920.03125
349444,-3.2189062500000003,-9.350156250000001,0.9196875,10920.0625
349445,-3.3721875000000003,-9.5034375,0.9196875,10920.09375
349446,-3.3721875000000003,-9.350156250000001,0.9196875,10920.125
349447,-3.3721875000000003,-9.350156250000001,0.9196875,10920.15625
349448,-3.2189062500000003,-9.350156250000001,0.9196875,10920.1875
349449,-3.3721875000000003,-9.350156250000001,0.9196875,10920.21875
349450,-3.2189062500000003,-9.350156250000001,0.9196875,10920.25
349451,-3.2189062500000003,-9.350156250000001,0.9196875,10920.28125
349452,-3.2189062500000003,-9.350156250000001,0.9196875,10920.3125
349453,-3.3721875000000003,-9.350156250000001,0.9196875,10920.34375
349454,-3.3721875000000003,-9.350156250000001,0.9196875,10920.375
349455,-3.3721875000000003,-9.350156250000001,0.9196875,10920.40625
349456,-3.3721875000000003,-9.350156250000001,1.07296875,10920.4375
349457,-3.3721875000000003,-9.350156250000001,1.07296875,10920.46875
349458,-3.5254687500000004,-9.350156250000001,0.9196875,10920.5
349459,-3.5254687500000004,-9.350156250000001,0.9196875,10920.53125
349460,-3.5254687500000004,-9.350156250000001,0.9196875,10920.5625
349461,-3.5254687500000004,-9.350156250000001,0.9196875,10920.59375
349462,-3.5254687500000004,-9.350156250000001,0.9196875,10920.625
349463,-3.3721875000000003,-9.350156250000001,0.9196875,10920.65625
349464,-3.3721875000000003,-9.350156250000001,0.9196875,10920.6875
349465,-3.5254687500000004,-9.350156250000001,0.9196875,10920.71875
349466,-3.3721875000000003,-9.350156250000001,0.9196875,10920.75
349467,-3.2189062500000003,-9.350156250000001,0.9196875,10920.78125
349468,-3.3721875000000003,-9.350156250000001,0.9196875,10920.8125
349469,-3.3721875000000003,-9.350156250000001,0.9196875,10920.84375
349470,-3.3721875000000003,-9.350156250000001,0.9196875,10920.875
349471,-3.3721875000000003,-9.350156250000001,0.9196875,10920.90625
349472,-3.3721875000000003,-9.350156250000001,0.9196875,10920.9375
349473,-3.5254687500000004,-9.350156250000001,0.9196875,10920.96875
349474,-3.5254687500000004,-9.350156250000001,0.9196875,10921.0
349475,-3.3721875000000003,-9.350156250000001,1.07296875,10921.03125
349476,-3.3721875000000003,-9.350156250000001,0.9196875,10921.0625
349477,-3.3721875000000003,-9.350156250000001,0.9196875,10921.09375
349478,-3.2189062500000003,-9.350156250000001,0.9196875,10921.125
349479,-3.3721875000000003,-9.350156250000001,0.9196875,10921.15625
349480,-3.3721875000000003,-9.350156250000001,0.9196875,10921.1875
349481,-3.3721875000000003,-9.350156250000001,0.9196875,10921.21875
349482,-3.3721875000000003,-9.350156250000001,1.07296875,10921.25
349483,-3.3721875000000003,-9.350156250000001,0.9196875,10921.28125
349484,-3.3721875000000003,-9.350156250000001,0.9196875,10921.3125
349485,-3.3721875000000003,-9.350156250000001,0.9196875,10921.34375
349486,-3.3721875000000003,-9.350156250000001,0.9196875,10921.375
349487,-3.3721875000000003,-9.350156250000001,0.9196875,10921.40625
349488,-3.3721875000000003,-9.350156250000001,0.9196875,10921.4375
349489,-3.2189062500000003,-9.350156250000001,1.07296875,10921.46875
349490,-3.3721875000000003,-9.5034375,0.9196875,10921.5
349491,-3.2189062500000003,-9.350156250000001,0.9196875,10921.53125
349492,-3.3721875000000003,-9.350156250000001,0.9196875,10921.5625
349493,-3.2189062500000003,-9.350156250000001,1.07296875,10921.59375
349494,-3.2189062500000003,-9.350156250000001,0.9196875,10921.625
349495,-3.3721875000000003,-9.350156250000001,0.9196875,10921.65625
349496,-3.3721875000000003,-9.350156250000001,1.07296875,10921.6875
349497,-3.3721875000000003,-9.350156250000001,1.07296875,10921.71875
349498,-3.3721875000000003,-9.350156250000001,0.9196875,10921.75
349499,-3.3721875000000003,-9.350156250000001,0.9196875,10921.78125
349500,-3.3721875000000003,-9.350156250000001,0.9196875,10921.8125
349501,-3.3721875000000003,-9.350156250000001,0.9196875,10921.84375
349502,-3.3721875000000003,-9.350156250000001,0.9196875,10921.875
349503,-3.3721875000000003,-9.350156250000001,0.9196875,10921.90625
349504,-3.3721875000000003,-9.350156250000001,0.9196875,10921.9375
349505,-3.3721875000000003,-9.350156250000001,0.9196875,10921.96875
349506,-3.3721875000000003,-9.350156250000001,1.07296875,10922.0
349507,-3.3721875000000003,-9.350156250000001,0.9196875,10922.03125
349508,-3.2189062500000003,-9.5034375,0.9196875,10922.0625
349509,-3.2189062500000003,-9.350156250000001,0.9196875,10922.09375
349510,-3.2189062500000003,-9.350156250000001,0.9196875,10922.125
349511,-3.2189062500000003,-9.350156250000001,0.9196875,10922.15625
349512,-3.3721875000000003,-9.350156250000001,0.9196875,10922.1875
349513,-3.3721875000000003,-9.350156250000001,0.9196875,10922.21875
349514,-3.3721875000000003,-9.350156250000001,0.9196875,10922.25
349515,-3.3721875000000003,-9.350156250000001,0.9196875,10922.28125
349516,-3.3721875000000003,-9.350156250000001,0.9196875,10922.3125
349517,-3.5254687500000004,-9.350156250000001,0.9196875,10922.34375
349518,-3.3721875000000003,-9.350156250000001,0.9196875,10922.375
349519,-3.3721875000000003,-9.350156250000001,0.9196875,10922.40625
349520,-3.3721875000000003,-9.350156250000001,1.07296875,10922.4375
349521,-3.3721875000000003,-9.350156250000001,0.9196875,10922.46875
349522,-3.3721875000000003,-9.350156250000001,0.9196875,10922.5
349523,-3.3721875000000003,-9.350156250000001,0.9196875,10922.53125
349524,-3.3721875000000003,-9.350156250000001,0.9196875,10922.5625
349525,-3.3721875000000003,-9.350156250000001,0.9196875,10922.59375
349526,-3.3721875000000003,-9.350156250000001,0.9196875,10922.625
349527,-3.3721875000000003,-9.350156250000001,0.9196875,10922.65625
349528,-3.3721875000000003,-9.350156250000001,0.9196875,10922.6875
349529,-3.3721875000000003,-9.350156250000001,0.9196875,10922.71875
349530,-3.3721875000000003,-9.350156250000001,0.9196875,10922.75
