,x,y,z,t
32706,-4.905,2.29921875,7.51078125,1022.0
32707,-5.05828125,2.1459375,7.6640625,1022.03125
32708,-5.2115625,2.1459375,7.6640625,1022.0625
32709,-5.2115625,2.1459375,7.81734375,1022.09375
32710,-5.05828125,2.1459375,7.81734375,1022.125
32711,-5.05828125,2.1459375,7.81734375,1022.15625
32712,-5.05828125,2.29921875,7.81734375,1022.1875
32713,-5.05828125,2.1459375,7.81734375,1022.21875
32714,-4.905,2.1459375,7.81734375,1022.25
32715,-5.2115625,2.1459375,7.81734375,1022.28125
32716,-5.2115625,2.1459375,7.81734375,1022.3125
32717,-5.36484375,2.1459375,7.81734375,1022.34375
32718,-5.2115625,2.1459375,7.6640625,1022.375
32719,-5.2115625,1.99265625,7.81734375,1022.40625
32720,-4.905,2.1459375,7.81734375,1022.4375
32721,-4.905,2.1459375,7.970625,1022.46875
32722,-4.75171875,2.1459375,7.970625,1022.5
32723,-4.75171875,2.29921875,8.123906250000001,1022.53125
32724,-4.905,2.29921875,7.81734375,1022.5625
32725,-4.905,2.4525,7.6640625,1022.59375
32726,-4.905,2.4525,7.6640625,1022.625
32727,-5.05828125,2.4525,7.81734375,1022.65625
32728,-5.05828125,2.29921875,7.81734375,1022.6875
32729,-4.905,2.29921875,7.81734375,1022.71875
32730,-4.75171875,2.29921875,7.81734375,1022.75
32731,-4.905,2.29921875,7.81734375,1022.78125
32732,-4.75171875,2.29921875,7.970625,1022.8125
32733,-4.75171875,2.29921875,7.970625,1022.84375
32734,-4.44515625,2.29921875,7.970625,1022.875
32735,-5.2115625,2.4525,7.81734375,1022.90625
32736,-5.2115625,2.29921875,7.6640625,1022.9375
32737,-4.75171875,2.29921875,7.81734375,1022.96875
32738,-4.5984375,2.29921875,7.81734375,1023.0
32739,-4.75171875,2.4525,7.970625,1023.03125
32740,-4.905,2.4525,7.970625,1023.0625
32741,-4.75171875,2.4525,7.81734375,1023.09375
32742,-4.75171875,2.4525,7.6640625,1023.125
32743,-4.905,2.4525,7.81734375,1023.15625
32744,-4.905,2.4525,7.970625,1023.1875
32745,-5.05828125,2.29921875,7.81734375,1023.21875
32746,-4.905,2.4525,7.81734375,1023.25
32747,-4.75171875,2.60578125,7.81734375,1023.28125
32748,-4.75171875,2.60578125,7.6640625,1023.3125
32749,-4.75171875,2.4525,7.81734375,1023.34375
32750,-4.905,2.4525,7.81734375,1023.375
32751,-4.905,2.4525,7.970625,1023.40625
32752,-4.905,2.29921875,7.970625,1023.4375
32753,-4.905,2.29921875,7.970625,1023.46875
32754,-4.905,2.29921875,7.81734375,1023.5
32755,-4.905,2.29921875,7.81734375,1023.53125
32756,-4.905,2.29921875,7.81734375,1023.5625
32757,-4.905,2.4525,7.81734375,1023.59375
32758,-5.05828125,2.29921875,7.81734375,1023.625
32759,-5.05828125,2.29921875,7.81734375,1023.65625
32760,-4.905,2.4525,7.6640625,1023.6875
32761,-5.2115625,2.4525,7.6640625,1023.71875
32762,-4.75171875,2.60578125,7.6640625,1023.75
32763,-4.75171875,2.60578125,7.6640625,1023.78125
32764,-4.75171875,2.60578125,7.6640625,1023.8125
32765,-4.75171875,2.60578125,7.81734375,1023.84375
32766,-4.905,2.4525,7.81734375,1023.875
32767,-4.5984375,2.4525,8.123906250000001,1023.90625
32768,-4.44515625,2.60578125,8.58375,1023.9375
32769,-4.5984375,2.4525,8.8903125,1023.96875
32770,-4.5984375,2.1459375,7.3575,1024.0
32771,-4.13859375,2.29921875,8.123906250000001,1024.03125
32772,-2.9123437500000002,2.60578125,8.58375,1024.0625
32773,-3.2189062500000003,2.4525,8.2771875,1024.09375
32774,-3.3721875000000003,2.60578125,8.2771875,1024.125
32775,-2.7590625,2.29921875,8.58375,1024.15625
32776,-2.9123437500000002,2.4525,8.737031250000001,1024.1875
32777,-2.9123437500000002,2.29921875,8.8903125,1024.21875
32778,-2.9123437500000002,2.29921875,9.043593750000001,1024.25
32779,-2.9123437500000002,2.1459375,9.043593750000001,1024.28125
32780,-2.7590625,1.99265625,8.8903125,1024.3125
32781,-2.9123437500000002,2.1459375,9.043593750000001,1024.34375
32782,-2.7590625,2.1459375,8.8903125,1024.375
32783,-2.7590625,1.99265625,8.8903125,1024.40625
32784,-2.7590625,1.99265625,8.8903125,1024.4375
32785,-2.7590625,1.99265625,8.8903125,1024.46875
32786,-2.9123437500000002,1.99265625,8.8903125,1024.5
32787,-3.0656250000000003,1.99265625,8.8903125,1024.53125
32788,-3.2189062500000003,1.839375,8.8903125,1024.5625
32789,-3.2189062500000003,1.839375,8.8903125,1024.59375
32790,-3.0656250000000003,1.839375,8.8903125,1024.625
32791,-2.9123437500000002,1.99265625,8.8903125,1024.65625
32792,-2.9123437500000002,1.99265625,8.737031250000001,1024.6875
32793,-2.9123437500000002,2.1459375,8.737031250000001,1024.71875
32794,-2.7590625,2.1459375,8.737031250000001,1024.75
32795,-2.9123437500000002,1.99265625,8.737031250000001,1024.78125
32796,-2.9123437500000002,1.99265625,8.8903125,1024.8125
32797,-2.9123437500000002,1.99265625,8.8903125,1024.84375
32798,-2.9123437500000002,1.99265625,8.8903125,1024.875
32799,-2.9123437500000002,1.99265625,8.737031250000001,1024.90625
32800,-3.0656250000000003,1.99265625,8.737031250000001,1024.9375
32801,-3.0656250000000003,1.99265625,8.737031250000001,1024.96875
32802,-2.9123437500000002,1.99265625,8.737031250000001,1025.0
32803,-2.7590625,1.839375,8.8903125,1025.03125
32804,-2.9123437500000002,1.839375,9.043593750000001,1025.0625
32805,-3.0656250000000003,1.99265625,8.8903125,1025.09375
32806,-3.0656250000000003,1.839375,8.8903125,1025.125
32807,-2.9123437500000002,1.839375,8.8903125,1025.15625
32808,-2.9123437500000002,1.839375,8.737031250000001,1025.1875
32809,-2.7590625,1.99265625,8.8903125,1025.21875
32810,-2.9123437500000002,1.99265625,8.8903125,1025.25
32811,-2.9123437500000002,1.839375,8.58375,1025.28125
32812,-3.0656250000000003,1.99265625,8.8903125,1025.3125
32813,-3.0656250000000003,1.839375,8.737031250000001,1025.34375
32814,-2.9123437500000002,1.99265625,8.737031250000001,1025.375
32815,-2.7590625,1.99265625,8.8903125,1025.40625
32816,-2.9123437500000002,1.99265625,8.737031250000001,1025.4375
32817,-2.9123437500000002,1.99265625,8.8903125,1025.46875
32818,-2.9123437500000002,1.99265625,8.8903125,1025.5
32819,-2.9123437500000002,1.839375,8.8903125,1025.53125
32820,-2.9123437500000002,1.99265625,8.8903125,1025.5625
