,x,y,z,t
191554,-4.75171875,-7.3575,0.0,5986.0
191555,-4.5984375,-7.51078125,0.15328125,5986.03125
191556,-4.5984375,-7.050937500000001,0.45984375,5986.0625
191557,-5.05828125,-6.744375000000001,0.45984375,5986.09375
191558,-5.36484375,-6.437812500000001,0.9196875,5986.125
191559,-5.36484375,-7.970625,1.07296875,5986.15625
191560,-5.67140625,-8.8903125,1.07296875,5986.1875
191561,-5.518125,-10.1165625,1.07296875,5986.21875
191562,-6.437812500000001,-11.49609375,0.9196875,5986.25
191563,-6.437812500000001,-14.56171875,0.45984375,5986.28125
191564,-5.2115625,-13.182187500000001,0.15328125,5986.3125
191565,-4.44515625,-12.569062500000001,-0.3065625,5986.34375
191566,-4.13859375,-12.569062500000001,-1.07296875,5986.375
191567,-3.5254687500000004,-12.262500000000001,-1.22625,5986.40625
191568,-2.29921875,-9.5034375,-1.22625,5986.4375
191569,-1.99265625,-7.3575,-1.07296875,5986.46875
191570,-2.1459375,-6.744375000000001,-1.07296875,5986.5
191571,-2.60578125,-6.284531250000001,-0.9196875,5986.53125
191572,-2.4525,-6.284531250000001,-0.613125,5986.5625
191573,-2.4525,-5.9779687500000005,-0.45984375,5986.59375
191574,-2.7590625,-6.591093750000001,-0.45984375,5986.625
191575,-3.0656250000000003,-8.58375,-0.3065625,5986.65625
191576,-3.5254687500000004,-10.88296875,-0.613125,5986.6875
191577,-4.13859375,-11.49609375,-0.613125,5986.71875
191578,-4.75171875,-11.955937500000001,-0.45984375,5986.75
191579,-4.5984375,-12.875625000000001,-0.9196875,5986.78125
191580,-4.75171875,-10.1165625,-0.9196875,5986.8125
191581,-6.437812500000001,-10.423125,-0.45984375,5986.84375
191582,-6.591093750000001,-11.18953125,-0.3065625,5986.875
191583,-5.518125,-11.3428125,0.15328125,5986.90625
191584,-4.291875,-9.96328125,0.15328125,5986.9375
191585,-3.67875,-7.51078125,0.45984375,5986.96875
191586,-4.5984375,-6.284531250000001,-0.3065625,5987.0
191587,-4.44515625,-6.1312500000000005,-0.3065625,5987.03125
191588,-4.44515625,-6.284531250000001,-0.15328125,5987.0625
191589,-4.5984375,-6.744375000000001,-0.15328125,5987.09375
191590,-4.75171875,-7.51078125,0.15328125,5987.125
191591,-5.518125,-9.196875,0.3065625,5987.15625
191592,-5.8246875000000005,-10.26984375,0.45984375,5987.1875
191593,-5.2115625,-10.7296875,0.613125,5987.21875
